jpohhhh,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 02:09:08 +0000 2018
richardhills777,"RT @tina_plunkett: Holy shit! 
The disgusting language &amp; names used on green mp Julie Ann Genter (about her going to give birth) is absolut…","Holy shit! 
The disgusting language &amp; names used on green mp Julie Ann Genter (about her going to give birth) is absolutely horrifying!
Seriously @nzherald @NZStuff sort your shit out. Delete block ban these trolls. It is vile.",Sun Aug 19 01:22:05 +0000 2018
RockShrimp,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:21:46 +0000 2018
MsCBBoots,@aaronpellowski What would be horrifying an a complete breaddown of separation of powers would have been if the senate past a resolution saying the press WAS the enemy of the people,,Sun Aug 19 01:21:36 +0000 2018
PuppFoo,"RT @Soren_Ltd: Here’s some extremely valuable advice for any interaction you have with an artist or creator you are a fan of:

Revealing a…","Here’s some extremely valuable advice for any interaction you have with an artist or creator you are a fan of:

Revealing a deep knowledge of their work = totally fine.

Revealing a deep knowledge of their personal life = horrifying.",Sun Aug 19 01:21:22 +0000 2018
MONAMASTERS,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:21:20 +0000 2018
LiberalNavySeal,RT @DavMicRot: ICE diverts resources from making US safe to being cruel. What makes them truly horrifying is that they will likely blindly…,"ICE diverts resources from making US safe to being cruel. What makes them truly horrifying is that they will likely blindly follow whatever cruelty Trump, Sessions, and Republicans think of next. https://t.co/eIF2Gzfcpa",Sun Aug 19 01:21:18 +0000 2018
leroy_weiler,RT @barbrevis1955: The Dworkin Report https://t.co/eLWKgq79AC,The Dworkin Report https://t.co/eLWKgq79AC,Sun Aug 19 01:21:17 +0000 2018
lonestarhusker,"RT @RAICESTEXAS: This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

N…","This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

No one is illegal. 
This is not how we should treat one another.

#AbolishICE 

https://t.co/jgIqG0PGal",Sun Aug 19 01:21:14 +0000 2018
klancekiss,RT @lovelyallura: imagine not liking girls ? horrifying. cant relate.,imagine not liking girls ? horrifying. cant relate.,Sun Aug 19 01:21:13 +0000 2018
Qns_NY_Cnsvativ,RT @yvonnerich9: @Qns_NY_Cnsvativ @poodlelove55 @KrisParonto Horrifying that American ambassadors deliberately killed in Benghazi he should…,@Qns_NY_Cnsvativ @poodlelove55 @KrisParonto Horrifying that American ambassadors deliberately killed in Benghazi he should be in jail for their deaths,Sun Aug 19 01:21:11 +0000 2018
trashyfemme,"RT @nastyrat29: if you see a tweet w this caption, account + a video please look away. it's another horrible animal abuse video. it's horri…","if you see a tweet w this caption, account + a video please look away. it's another horrible animal abuse video. it's horrifying. please save yourself the trauma-re-traumitization. https://t.co/YzpVgOT78F",Sun Aug 19 01:20:45 +0000 2018
STEMtor,RT @donttrythis: Read this. Horrifying. Disgusting actually. https://t.co/tVGQs5LRmj,Read this. Horrifying. Disgusting actually. https://t.co/tVGQs5LRmj,Sun Aug 19 01:20:39 +0000 2018
AdamGorightly,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:20:32 +0000 2018
vialiveshere,"RT @_JennyHollander: At 23, I found myself chatting away to a stranger, glass of wine in hand, about my post-grad rejections. These rejecti…","At 23, I found myself chatting away to a stranger, glass of wine in hand, about my post-grad rejections. These rejections became the lede of a feature in The New Yorker. It was hilarious. It was horrifying. There is no need for me to do #ShareYourRejections because, well. https://t.co/hP5AOA2ytd",Sun Aug 19 01:20:26 +0000 2018
roughcountry451,RT @yvonnerich9: @Qns_NY_Cnsvativ @poodlelove55 @KrisParonto Horrifying that American ambassadors deliberately killed in Benghazi he should…,@Qns_NY_Cnsvativ @poodlelove55 @KrisParonto Horrifying that American ambassadors deliberately killed in Benghazi he should be in jail for their deaths,Sun Aug 19 01:20:16 +0000 2018
JohnMAGALaCapra,"RT @ThomasWictor: (1) Hat tip @EMG0709.

This is horrifying but entirely believable.

https://t.co/lxScCAqcPr","(1) Hat tip @EMG0709.

This is horrifying but entirely believable.

https://t.co/lxScCAqcPr",Sun Aug 19 01:20:06 +0000 2018
m_e_marshalll,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:20:01 +0000 2018
LJR1626,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:20:00 +0000 2018
TrickFreee,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:19:59 +0000 2018
kacz123,RT @ChelseaClinton: Horrifying. #FamiliesBelongTogether https://t.co/G1R9wKOk1W,Horrifying. #FamiliesBelongTogether https://t.co/G1R9wKOk1W,Sun Aug 19 01:19:54 +0000 2018
hsmcnp,RT @gibbee1: Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Sun Aug 19 01:19:49 +0000 2018
RayVince,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:19:41 +0000 2018
amyrourke5,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:19:37 +0000 2018
cm_merlin,"@LuciHoneychurch @TimothyS @CNN You are off topic, we were talking about the TRUMP admin!! Deflection does NOT excuse anything. Besides, the Trump campaigns were highly aggressive from the VERY start! Many casualties reported, &amp; sweeping coverups.. read news from the time.. horrifying..",,Sun Aug 19 01:19:32 +0000 2018
lologlitch,"RT @Soren_Ltd: Here’s some extremely valuable advice for any interaction you have with an artist or creator you are a fan of:

Revealing a…","Here’s some extremely valuable advice for any interaction you have with an artist or creator you are a fan of:

Revealing a deep knowledge of their work = totally fine.

Revealing a deep knowledge of their personal life = horrifying.",Sun Aug 19 01:19:26 +0000 2018
DrBBaz,"RT @RAICESTEXAS: This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

N…","This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

No one is illegal. 
This is not how we should treat one another.

#AbolishICE 

https://t.co/jgIqG0PGal",Sun Aug 19 01:19:22 +0000 2018
JlnFrancisco,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:19:09 +0000 2018
NYRuiz92,"RT @ComicBookNOW: 'THE SIMPSONS's 3D Re-Imagining Shows Horrifying Real-Life Glimpse Of Homer Simpson
https://t.co/oArbaQr6z2 https://t.co/…","'THE SIMPSONS's 3D Re-Imagining Shows Horrifying Real-Life Glimpse Of Homer Simpson
https://t.co/oArbaQr6z2 https://t.co/R1KIZ6oJgP",Sun Aug 19 01:19:05 +0000 2018
