SeshfuII,a bitch had to walk home in the down pouring rain hehe rawr xd,,Sat Aug 18 22:45:44 +0000 2018
Animatedzombie1,"When the sky, hears that sound, rain will not stop pouring down",,Sat Aug 18 18:00:28 +0000 2018
WhosCali,I’m 21 years old &amp; my dad was yelling at me yesterday to go work in “his yard”. So he told me he was going to wake me up today to go weed eat. Guess who’s house has pouring rain. 🤪🕺🏼,,Sat Aug 18 17:59:16 +0000 2018
singular_may,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 17:58:14 +0000 2018
Nadine4MAGA,"RT @jasoninthehouse: When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took…","When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took this on our Alaska trip in the pouring rain. https://t.co/PakSdO4OVV",Sat Aug 18 17:57:59 +0000 2018
GJStache,Yep it’s pouring rain in Golden. #ridersbesafe #beerbreak @ Old Capitol Grill &amp; Smokehouse https://t.co/7SA7Ht08JC,,Sat Aug 18 17:57:22 +0000 2018
madopoof,"so due to the bad weather (kinda hard to paint and glue outside when it’s pouring rain every few hours) and a bad batch of contact cement, i’m a Bit Behind schedule. but i wanted to show exactly how ridiculous this headpiece is. https://t.co/E1v5DPTWkp",,Sat Aug 18 17:57:00 +0000 2018
__Lillyohavna,"@just_shosho You're the coffee that I need in the morning
You're my sunshine in the rain when it's pouring❤️",,Sat Aug 18 17:55:50 +0000 2018
MCCBIBBLE,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 17:55:46 +0000 2018
m0nsterdelrey,"a year ago today I stood in the pouring rain and watched Demi perform GMA from the first row while I was fucking drenched, but my bb looked so cute with her braids and camo",,Sat Aug 18 17:54:52 +0000 2018
LukeBuchananana,Pouring rain in NOLA so I’m forced to tuck myself into this comfy bed in this dope hotel room and drink my Negroni Sour while watching the Premier League. Ugh. #SOS #SENDHELP,,Sat Aug 18 17:54:30 +0000 2018
_mariaii,You’re my sunshine in the rain when it's pouring,,Sat Aug 18 17:52:53 +0000 2018
boston_camera,Southeast Asian Water Festival in #Lowell MA is rained out right now! Thunder storms and pouring rain! #southeastasianwaterfestival https://t.co/0xEh0SET5Y,,Sat Aug 18 17:51:28 +0000 2018
arimarie2323,"RT @ya_boiii_immi: You're the coffee that I need in the morning
You're my sunshine in the rain when it's pouring
😌☕️♥️🌦","You're the coffee that I need in the morning
You're my sunshine in the rain when it's pouring
😌☕️♥️🌦",Sat Aug 18 17:51:24 +0000 2018
LuitjeM,"RT @jasoninthehouse: When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took…","When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took this on our Alaska trip in the pouring rain. https://t.co/PakSdO4OVV",Sat Aug 18 17:50:05 +0000 2018
MarinerKen,"RT @jasoninthehouse: When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took…","When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took this on our Alaska trip in the pouring rain. https://t.co/PakSdO4OVV",Sat Aug 18 17:47:10 +0000 2018
jookicafe,RT @seullbear: ━ « i feel so alone on a friday night can you make it feel like home if I tell you you're mine? don't make me sad don't make…,"━ « i feel so alone on a friday night can you make it feel like home if I tell you you're mine? don't make me sad don't make me cry. come take a walk on the wild side let me kiss you hard in the pouring rain »
#MONSTA_X #monbebeselcaday #몬스타엑스 https://t.co/Ltl3KKV6zS",Sat Aug 18 17:45:39 +0000 2018
oldwaysadam,"Oh my God one year ago today I hit a total of 40 hours of no sleep, stood in pouring rain to see Demi, damaged my shirt and shoes and then I ran over to Z100 soaking wet to see Bea and then instead of going home to sleep I decided to wait 4 more hours for Demi and get swerved 🙃",,Sat Aug 18 17:44:07 +0000 2018
1SG_Downin,"What to do on a rainy day?? Well, limetree1986 and I get our run on!!! 6 miles of wet and wild running through pouring rain and muddy trails!!! It was amazing and the doggies loved it… https://t.co/hEw7TCA69O",,Sat Aug 18 17:43:20 +0000 2018
Haley_Halle,RT @_Fatima_SM: You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,Sat Aug 18 17:43:06 +0000 2018
mattm_5,"RT @jordaan__nicole: thunder, lightening and pouring rain and there are atleast 50 people getting hammered and soaked in my back yard","thunder, lightening and pouring rain and there are atleast 50 people getting hammered and soaked in my back yard",Sat Aug 18 17:42:21 +0000 2018
islanderscaper,Pouring rain...Guess I’m taking a cab to work today.,,Sat Aug 18 17:42:09 +0000 2018
TheSun,TV star is furious with Ryanair after her latest flight https://t.co/cmCCONjfPr,,Sat Aug 18 17:42:00 +0000 2018
JamaicanMeCrazi,RT @__chaniahh: “you’re the coffee that i need in the morning... you’re my sunshine in the rain when it’s pouring” ❤️😭😭 https://t.co/4IA9uV…,“you’re the coffee that i need in the morning... you’re my sunshine in the rain when it’s pouring” ❤️😭😭 https://t.co/4IA9uV1BGf,Sat Aug 18 17:41:39 +0000 2018
CJTThumper,"RT @jasoninthehouse: When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took…","When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took this on our Alaska trip in the pouring rain. https://t.co/PakSdO4OVV",Sat Aug 18 17:41:02 +0000 2018
dipin_viswam,RT @adgpi: #Update #KeralaFloods2018 Column of 44 Field Regiment  constructed foot bridge at area Padikkad from local resources. In heavily…,#Update #KeralaFloods2018 Column of 44 Field Regiment  constructed foot bridge at area Padikkad from local resources. In heavily pouring rain the construction was completed. We are at it #OpMadad #KeralaFloodRelief https://t.co/dKRf3zGe9S,Sat Aug 18 17:40:56 +0000 2018
isab1007,You‘re my sunshine in the rain when it‘s pouring,,Sat Aug 18 17:40:25 +0000 2018
LindaRundy3,RT @NorwinHS_Cheer: The Norwin Senior Cheerleaders teamed up with the Senior Football Players to entertain the crowd at the Meet n Greet. P…,"The Norwin Senior Cheerleaders teamed up with the Senior Football Players to entertain the crowd at the Meet n Greet. Pouring down rain, they did a great job! https://t.co/kkKJO2KjqK",Sat Aug 18 17:39:59 +0000 2018
peoplearecraz,"RT @Devin_Heroux: Absolutely pouring again in Williamsport. 

We could be in for more delays today. I’ll keep you posted... this is the wor…","Absolutely pouring again in Williamsport. 

We could be in for more delays today. I’ll keep you posted... this is the worst of the rain so far. @cbcsports",Sat Aug 18 17:39:33 +0000 2018
KathyReynolds11,"RT @NBC10_Jared: Moments after Coventry little league team starts batting practice prior to today's #LLWS elimination game at 3pm, pouring…","Moments after Coventry little league team starts batting practice prior to today's #LLWS elimination game at 3pm, pouring rain. We'll see if this affects start time @NBC10 https://t.co/JsPil1Y439",Sat Aug 18 17:39:17 +0000 2018
nyaracal,"RT @cabbaj1: You’re my sunshine in the rain when it’s pouring 

Gift art for @SauceGhost 🥤 https://t.co/tbiG3sEe6Y","You’re my sunshine in the rain when it’s pouring 

Gift art for @SauceGhost 🥤 https://t.co/tbiG3sEe6Y",Sat Aug 18 17:39:14 +0000 2018
Lainy_Coonrod,RT @ldoneghue: hi yes I was one of the stupid ones who tried to wait it out outside in the pouring rain &amp; lightning !!! I was ready to get…,hi yes I was one of the stupid ones who tried to wait it out outside in the pouring rain &amp; lightning !!! I was ready to get trampled for you 💜 https://t.co/hEmval3716,Sat Aug 18 17:38:46 +0000 2018
DIAMANTEband,RT @jade_troutman21: Amazing performances by @badwolves @DIAMANTEband @FFDP so worth getting stuck in the pouring rain twice! 🤘🏻,Amazing performances by @badwolves @DIAMANTEband @FFDP so worth getting stuck in the pouring rain twice! 🤘🏻,Sat Aug 18 17:38:42 +0000 2018
sadlysavage,I can now safely add “impromptu dam building and moat digging in the pouring rain” to my resume,,Sat Aug 18 17:37:20 +0000 2018
Bongiweboh20,@ILLUMINATIAM I've also heard from them ever since I've shown interest in the illuminati they are just pouring down on me like rain,,Sat Aug 18 17:37:11 +0000 2018
NBC10_Lindsay,"RT @NBC10_Jared: Moments after Coventry little league team starts batting practice prior to today's #LLWS elimination game at 3pm, pouring…","Moments after Coventry little league team starts batting practice prior to today's #LLWS elimination game at 3pm, pouring rain. We'll see if this affects start time @NBC10 https://t.co/JsPil1Y439",Sat Aug 18 17:36:25 +0000 2018
pilottierney,"RT @jasoninthehouse: When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took…","When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took this on our Alaska trip in the pouring rain. https://t.co/PakSdO4OVV",Sat Aug 18 17:36:21 +0000 2018
cbcsports,"RT @Devin_Heroux: Absolutely pouring again in Williamsport. 

We could be in for more delays today. I’ll keep you posted... this is the wor…","Absolutely pouring again in Williamsport. 

We could be in for more delays today. I’ll keep you posted... this is the worst of the rain so far. @cbcsports",Sat Aug 18 17:36:16 +0000 2018
Nylalifemann,"Black wkmen are amazing yo, this lady fixed her own car in the pouring rain in the middle of fucking traffic",,Sat Aug 18 17:35:55 +0000 2018
atonibe,"RT @cierradotcom: me: it’d be really swell if it didn’t start pouring down rain on my way h-
the rain: https://t.co/dbG99wxYTE","me: it’d be really swell if it didn’t start pouring down rain on my way h-
the rain: https://t.co/dbG99wxYTE",Sat Aug 18 17:35:52 +0000 2018
aarxngrant,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 17:35:38 +0000 2018
SheilaH78174315,"RT @jasoninthehouse: When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took…","When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took this on our Alaska trip in the pouring rain. https://t.co/PakSdO4OVV",Sat Aug 18 17:34:15 +0000 2018
adriiaanneee,I’m so blessed to have my boyfriend in my life. He just left work and came to change my flat tire in the pouring rain. 😭😭,,Sat Aug 18 17:32:55 +0000 2018
bbyun486_,"RT @jideukie: “You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https…","“You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https://t.co/WtEuYwxvwx",Sat Aug 18 17:32:38 +0000 2018
TobiDaGreatest,"In My Area, Any time they see rain like this ,they start packing refuse and garbages and start pouring inside the gutter and when everywhere is blocked and water sees no where to go ,it floods their homes and the next thing is to start cursing the Govt And kids the are watching",,Sat Aug 18 17:32:38 +0000 2018
LVastag2,"RT @jasoninthehouse: When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took…","When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took this on our Alaska trip in the pouring rain. https://t.co/PakSdO4OVV",Sat Aug 18 17:32:35 +0000 2018
Brandon15733284,"RT @jasoninthehouse: When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took…","When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took this on our Alaska trip in the pouring rain. https://t.co/PakSdO4OVV",Sat Aug 18 17:32:12 +0000 2018
spunky1961,"RT @jasoninthehouse: When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took…","When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took this on our Alaska trip in the pouring rain. https://t.co/PakSdO4OVV",Sat Aug 18 17:32:07 +0000 2018
GaminGeorge,It's pouring the rain and the city is flooded with race fans. I'm gonna stay in and do some work and fun with all my #arcade files! #RETROGAMING #Saturday #goodtimes https://t.co/AZHu2jgQPT,,Sat Aug 18 17:31:56 +0000 2018
StalkerGirl39,RT @todays1dhistory: Today (August 13) in 2014 - Harry visits the Lincoln Memorial in the pouring rain ✌️✌️👌 https://t.co/gsI5I41M9y,Today (August 13) in 2014 - Harry visits the Lincoln Memorial in the pouring rain ✌️✌️👌 https://t.co/gsI5I41M9y,Sat Aug 18 17:31:38 +0000 2018
hedhouseman,"I am also... not done with the edits, and loathe to re-up my parking spot in the pouring rain.",,Sat Aug 18 17:31:20 +0000 2018
kaqjeon,"@kaqparkcy Oh, I'm curious since I've been going down the list to watch the masterpieces- which ones are your favorite? And oh oh my god, yes I— love those so much. Somehow I got really into that one song that plays in an empty ice rink, the one in the car with a pouring rain and.. ugh.",,Sat Aug 18 17:31:15 +0000 2018
ange07,FedEx guy just showed up in this pouring rain.,,Sat Aug 18 17:31:11 +0000 2018
ECU_CRW,"#DearECU22 Easy Mac, Lean Cuisines and other microwavable meals are your BFF- especially when its pouring rain or you don't want to leave the dorm.",,Sat Aug 18 17:30:36 +0000 2018
joclarke232,"RT @NBC10_Jared: Moments after Coventry little league team starts batting practice prior to today's #LLWS elimination game at 3pm, pouring…","Moments after Coventry little league team starts batting practice prior to today's #LLWS elimination game at 3pm, pouring rain. We'll see if this affects start time @NBC10 https://t.co/JsPil1Y439",Sat Aug 18 17:30:36 +0000 2018
questionforall,"RT @bmtthww: I hold out my hand, I loudly call out to you
But it fades away at the pouring rain
After holding back, you fall again in my he…","I hold out my hand, I loudly call out to you
But it fades away at the pouring rain
After holding back, you fall again in my heart
When will the tears stop?",Sat Aug 18 17:30:09 +0000 2018
LeonardDean58,Pouring the rain. Guess I'll hang out in the bat cave with my Furbabies and have a little liquid corn squeezings 👌👍,,Sat Aug 18 17:29:59 +0000 2018
