ikodu_boie,@thatboi_on_fire @Klannyposts @GeniusJokerNG Tank yu,,Sun Aug 19 08:16:27 +0000 2018
YCCI3mYiX3OueF3,"RT @syedsajjad_321: #جاگ_اٹھا_سارا_وطن
Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until…","#جاگ_اٹھا_سارا_وطن
Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965.  https://t.co/QMKNdO2lAD",Mon Aug 13 11:23:43 +0000 2018
Daniyal99397311,"RT @Amjadkhan005: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enem…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #قربانی_کا_ثمر_ہے_آزادی https://t.co/z17kFoEKoS",Mon Aug 13 11:22:30 +0000 2018
KempterFireWire,"Malden MA, Tanker accident on Rt-1 south, tanker jacked knifed onto the Guardrail, no fire no leak from trailer tank, prolonged removal from guard rail. eng1sfd https://t.co/ZsehKXCO1q",,Mon Aug 13 11:21:20 +0000 2018
PtiTeampakistan,"RT @syedsajjad_321: #جاگ_اٹھا_سارا_وطن
Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until…","#جاگ_اٹھا_سارا_وطن
Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965.  https://t.co/QMKNdO2lAD",Mon Aug 13 11:20:23 +0000 2018
Ayesha_990,"RT @syedsajjad_321: #جاگ_اٹھا_سارا_وطن
Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until…","#جاگ_اٹھا_سارا_وطن
Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965.  https://t.co/QMKNdO2lAD",Mon Aug 13 11:14:25 +0000 2018
Aaatiiii,"RT @Amjadkhan005: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enem…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #قربانی_کا_ثمر_ہے_آزادی https://t.co/z17kFoEKoS",Mon Aug 13 11:12:45 +0000 2018
ultraviolet246,"RT @Amjadkhan005: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enem…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #قربانی_کا_ثمر_ہے_آزادی https://t.co/z17kFoEKoS",Mon Aug 13 11:12:26 +0000 2018
BTuttney,"I'm approaching Obj Bravo and run into enemies digging in. I knock out an unsuspecting enemy tank and immediately recieve return fire. My gunner is instantly killed, and soon after my commander is killed by a flanking enemy tank. Still, the remaining crew fight on! https://t.co/Tv5rcSvPVE",,Mon Aug 13 11:10:25 +0000 2018
Syed_gm12,"RT @syedsajjad_321: #جاگ_اٹھا_سارا_وطن
Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until…","#جاگ_اٹھا_سارا_وطن
Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965.  https://t.co/QMKNdO2lAD",Mon Aug 13 11:08:01 +0000 2018
syma_ansari1,"RT @syedsajjad_321: #جاگ_اٹھا_سارا_وطن
Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until…","#جاگ_اٹھا_سارا_وطن
Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965.  https://t.co/QMKNdO2lAD",Mon Aug 13 11:07:02 +0000 2018
Ayesha_Abrish,"RT @Amjadkhan005: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enem…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #قربانی_کا_ثمر_ہے_آزادی https://t.co/z17kFoEKoS",Mon Aug 13 11:06:33 +0000 2018
97Wizra,"RT @Amjadkhan005: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enem…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #قربانی_کا_ثمر_ہے_آزادی https://t.co/z17kFoEKoS",Mon Aug 13 11:05:28 +0000 2018
pukhtoonzb,"RT @Amjadkhan005: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enem…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #قربانی_کا_ثمر_ہے_آزادی https://t.co/z17kFoEKoS",Mon Aug 13 11:04:42 +0000 2018
asimbruce,"RT @Amjadkhan005: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enem…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #قربانی_کا_ثمر_ہے_آزادی https://t.co/z17kFoEKoS",Mon Aug 13 11:03:59 +0000 2018
muneer_mirani,"RT @Amjadkhan005: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enem…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #قربانی_کا_ثمر_ہے_آزادی https://t.co/z17kFoEKoS",Mon Aug 13 11:01:44 +0000 2018
DaniAwan77,"RT @Amjadkhan005: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enem…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #قربانی_کا_ثمر_ہے_آزادی https://t.co/z17kFoEKoS",Mon Aug 13 11:00:10 +0000 2018
amir_ghulab,"RT @Amjadkhan005: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enem…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #قربانی_کا_ثمر_ہے_آزادی https://t.co/z17kFoEKoS",Mon Aug 13 10:56:27 +0000 2018
imran_khan_fan,"RT @Amjadkhan005: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enem…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #قربانی_کا_ثمر_ہے_آزادی https://t.co/z17kFoEKoS",Mon Aug 13 10:55:36 +0000 2018
spookytooth69,"RT @syedsajjad_321: #جاگ_اٹھا_سارا_وطن
Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until…","#جاگ_اٹھا_سارا_وطن
Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965.  https://t.co/QMKNdO2lAD",Mon Aug 13 10:55:19 +0000 2018
ZakaUll55326967,"RT @Amjadkhan005: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enem…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #قربانی_کا_ثمر_ہے_آزادی https://t.co/z17kFoEKoS",Mon Aug 13 10:54:57 +0000 2018
RehmanRashid123,"RT @syedsajjad_321: #جاگ_اٹھا_سارا_وطن
Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until…","#جاگ_اٹھا_سارا_وطن
Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965.  https://t.co/QMKNdO2lAD",Mon Aug 13 10:54:21 +0000 2018
DummarPTI,"RT @Amjadkhan005: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enem…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #قربانی_کا_ثمر_ہے_آزادی https://t.co/z17kFoEKoS",Mon Aug 13 10:53:24 +0000 2018
foto_masters,"RT @Amjadkhan005: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enem…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #قربانی_کا_ثمر_ہے_آزادی https://t.co/z17kFoEKoS",Mon Aug 13 10:52:22 +0000 2018
AnjumFarooqui03,"RT @Amjadkhan005: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enem…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #قربانی_کا_ثمر_ہے_آزادی https://t.co/z17kFoEKoS",Mon Aug 13 10:50:17 +0000 2018
Amna_Emaan,"RT @Amjadkhan005: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enem…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #قربانی_کا_ثمر_ہے_آزادی https://t.co/z17kFoEKoS",Mon Aug 13 10:49:59 +0000 2018
iam_farha,"RT @Amjadkhan005: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enem…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #قربانی_کا_ثمر_ہے_آزادی https://t.co/z17kFoEKoS",Mon Aug 13 10:48:12 +0000 2018
Farah46537478,"RT @syedsajjad_321: #جاگ_اٹھا_سارا_وطن
Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until…","#جاگ_اٹھا_سارا_وطن
Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965.  https://t.co/QMKNdO2lAD",Mon Aug 13 10:47:15 +0000 2018
Smyousu77575911,"RT @syedsajjad_321: #جاگ_اٹھا_سارا_وطن
Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until…","#جاگ_اٹھا_سارا_وطن
Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965.  https://t.co/QMKNdO2lAD",Mon Aug 13 10:46:58 +0000 2018
Shahzad35037344,"RT @syedsajjad_321: #جاگ_اٹھا_سارا_وطن
Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until…","#جاگ_اٹھا_سارا_وطن
Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965.  https://t.co/QMKNdO2lAD",Mon Aug 13 10:45:58 +0000 2018
iftekhar6333,"RT @Amjadkhan005: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enem…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #قربانی_کا_ثمر_ہے_آزادی https://t.co/z17kFoEKoS",Mon Aug 13 10:44:55 +0000 2018
Awais46370116,"RT @Amjadkhan005: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enem…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #قربانی_کا_ثمر_ہے_آزادی https://t.co/z17kFoEKoS",Mon Aug 13 10:44:22 +0000 2018
syedsajjad_321,"#جاگ_اٹھا_سارا_وطن
Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965.  https://t.co/QMKNdO2lAD",,Mon Aug 13 10:43:37 +0000 2018
Amjadkhan005,"RT @Amjadkhan005: Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enem…","Maj Raja aziz bhatti organized the defence of the canal, directing his men to answer the fire until he was hit by an enemy tank shell and embraced martyrdom on 10 September 1965. #قربانی_کا_ثمر_ہے_آزادی https://t.co/z17kFoEKoS",Mon Aug 13 10:43:07 +0000 2018
kmbfoto,"RT @ENG1SFD: Malden MA, Tanker accident on Rt-1 south, tanker jacked knifed onto the Guardrail, no fire no leak from trailer tank, prolonge…","Malden MA, Tanker accident on Rt-1 south, tanker jacked knifed onto the Guardrail, no fire no leak from trailer tank, prolonged removal from guard rail. Rt -1 south remains closed. https://t.co/I1AmF55rZD",Mon Aug 13 10:41:43 +0000 2018
