jijujosephm,RT @scroll_in: A look at the headlines right now. https://t.co/e5u5PYRomd,A look at the headlines right now. https://t.co/e5u5PYRomd,Sat Aug 18 16:58:26 +0000 2018
MyVitthalwadi,"RT @AGROWON: चंद्रपूर : पोडसा पूल पाण्याखाली; पाच गावांचा संपर्क तुटला
https://t.co/jEuyNJ6ETW","चंद्रपूर : पोडसा पूल पाण्याखाली; पाच गावांचा संपर्क तुटला
https://t.co/jEuyNJ6ETW",Sat Aug 18 15:37:39 +0000 2018
dineen_c,RT @HankAllenWX: Great look at a storm offshore this morning. More heavy rain today! #StormHour https://t.co/c147QywRT2,Great look at a storm offshore this morning. More heavy rain today! #StormHour https://t.co/c147QywRT2,Sat Aug 18 15:37:23 +0000 2018
tweetonlondon,Batten down the hatches! Britain is braced for heavy rain and 60mph winds TONIGHT as tropical Storm Ernesto smashes UK after raging across Atlantic https://t.co/PWNlifBiEH,,Sat Aug 18 15:37:18 +0000 2018
Childhelpindia,"Team #ChildHelpFoundation on field, in flood in support of people affected by heavy rain!

Keep Supporting because People need it - https://t.co/aWoCxTFRTu

#KeralaFloods #KeralaFloodRelief #support #SaturdayMotivation https://t.co/ru9YpzX5LG",,Sat Aug 18 15:36:50 +0000 2018
rangats,"RT @NR_Tatvamasi: For example the next 2 weeks from now predicted heavy rain in dam catchment areas , advisory must be to open dams moderat…","For example the next 2 weeks from now predicted heavy rain in dam catchment areas , advisory must be to open dams moderately and keep buffer to take for next bout 2 weeks later. This will allow to do flood management better",Sat Aug 18 15:36:26 +0000 2018
eastlancslive,Batten down the hatches! Britain is braced for heavy rain and 60mph winds TONIGHT as tropical Storm Ernesto smashes UK after raging across Atlantic https://t.co/ESfGFdORmz,,Sat Aug 18 15:36:15 +0000 2018
ViniGeance,"RT @Baba_Gyancho: If u find a person who could catch ur wink in heavy rain, make that person ur 'forever'.","If u find a person who could catch ur wink in heavy rain, make that person ur 'forever'.",Sat Aug 18 15:36:02 +0000 2018
GardenStateWX,RT @weatherbell: Parts of the Central US will see heavy rain starting tomorrow and into the beginning of the work week. https://t.co/9wLG76…,Parts of the Central US will see heavy rain starting tomorrow and into the beginning of the work week. https://t.co/9wLG76XFOn,Sat Aug 18 15:35:31 +0000 2018
denasd,"RT @NWSAlbuquerque: The SPC has upgraded the northeast corner of NM, including Clayton and Raton, to a slight risk of severe thunderstorms…","The SPC has upgraded the northeast corner of NM, including Clayton and Raton, to a slight risk of severe thunderstorms today. Main threats will be large hail, damaging winds, lightning, and heavy rain. #nmwx https://t.co/85rNhsQfEI",Sat Aug 18 15:35:29 +0000 2018
Joeydekrullebol,"Dus ik wil vanavond een begin maken aan Heavy Rain en aangezien @Djo_ii een tijdje geleden zei dat ik het moest streamen, is de vraag… Zal ik dat doen of is er niet echt interesse? hahaha",,Sat Aug 18 15:35:27 +0000 2018
BD_CDA,RT @PEI_Stormchaser: 12:00pm (15z) heavy rain (+RA). Rainfall storm total 30.2 mms. Cocorahs PE-20 Bonshaw. #PEStorm,12:00pm (15z) heavy rain (+RA). Rainfall storm total 30.2 mms. Cocorahs PE-20 Bonshaw. #PEStorm,Sat Aug 18 15:35:27 +0000 2018
KMonneeyy,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:35:03 +0000 2018
NewExpressNews,"https://t.co/2crbK4RUZ3
@NewExpressNews Kerala rain: The researcher stated a flow has actually formed in north Bay of Bengal which will have an influence on Kerala and heavy rain will continue today and tomorrow (Sunday) in the flood-hit state. https://t.co/9Ly6z3QH3K",,Sat Aug 18 15:34:18 +0000 2018
hulky_nitika,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:34:02 +0000 2018
claudieux,"RT @rithesh: 1/2 hr, bringing Model 3 home, run in to heavy rain on the streets &amp; bumper comes off #devastated @Tesla #help @elonmusk https…","1/2 hr, bringing Model 3 home, run in to heavy rain on the streets &amp; bumper comes off #devastated @Tesla #help @elonmusk https://t.co/mOh2UAjWWr",Sat Aug 18 15:33:46 +0000 2018
weatherfreakk,RT @weatherbell: Parts of the Central US will see heavy rain starting tomorrow and into the beginning of the work week. https://t.co/9wLG76…,Parts of the Central US will see heavy rain starting tomorrow and into the beginning of the work week. https://t.co/9wLG76XFOn,Sat Aug 18 15:33:42 +0000 2018
wc_yarmouth,Sat 12:27: Heavy Rain; Temp 19.1 C; Wind SSW 24 km/h gust 39 km/h; Humidity 100%; Press 100.9 kPa / falling. https://t.co/mmYz5tQqOn,,Sat Aug 18 15:33:38 +0000 2018
BrianMoore6,@CarlowWeather Seems odd for weather warnings for heavy intense rain for Waterford and Kilkenny so?,,Sat Aug 18 15:33:32 +0000 2018
VektanLombax,I miss Norman Jayden I wanna play Heavy Rain again because of him,,Sat Aug 18 15:33:23 +0000 2018
Moorestown_PD,RT @NWS_MountHolly: A warm and humid Saturday for most. Showers and storms are likely this afternoon as a cold front slowly works its way s…,A warm and humid Saturday for most. Showers and storms are likely this afternoon as a cold front slowly works its way south. Heavy rain is also possible and so a Flash Flood Watch continues to remain in effect for most of the area through this afternoon. #PAwx #NJwx #MDwx #DEwx https://t.co/kJFh6agiNE,Sat Aug 18 15:33:19 +0000 2018
RockBoyZuhel,"RT @SarkarFilm: Red Alert in 11 Districts Again (Except Thiruvananthapuram, Kollam &amp; Kasaragod). Chances of Heavy Rain !! Stay Safe Kerala…","Red Alert in 11 Districts Again (Except Thiruvananthapuram, Kollam &amp; Kasaragod). Chances of Heavy Rain !! Stay Safe Kerala !!🙏
#PrayForKerala #KeralaFloods",Sat Aug 18 15:33:02 +0000 2018
SnoopyKriss,RT @DavidMora: Bourbon Street is coming back to life after heavy rain earlier today. 🌦⚜️ #bourbonstreet #neworleans https://t.co/6xRWYpP767,Bourbon Street is coming back to life after heavy rain earlier today. 🌦⚜️ #bourbonstreet #neworleans https://t.co/6xRWYpP767,Sat Aug 18 15:32:58 +0000 2018
ismathers,"RT @moorelps: Sorry, but no. ""Heavy rain and thunderstorms"" did not cause it. Concrete impermeability and lack of adequate infrastructure d…","Sorry, but no. ""Heavy rain and thunderstorms"" did not cause it. Concrete impermeability and lack of adequate infrastructure did.  #letitrain #ONStorm https://t.co/1BAK2RvksZ",Sat Aug 18 15:32:45 +0000 2018
romandsouza,"Pray for Kerala and Kodagu.. I have done my bit for Kerala today through Navy, requesting other to do it as well.

kodagu rain: Karnataka rains: Heavy rain continues to lash Kodagu https://t.co/AmMVTjFG8J",,Sat Aug 18 15:32:32 +0000 2018
NewarkNJPolice,"TRAFFIC ADVISORY - Heavy Rain and Flooding Expected Today. Please follow this link for a list of streets that may experience flooding. For fire safety, flashlights are safer than candles. https://t.co/qmaIXT0orf via @Nextdoor",,Sat Aug 18 15:32:30 +0000 2018
Ocean100,"Careful driving this afternoon on the Island as water is pooling in many roads from heavy rain that is coming down.
39-40 mm expected.
Some roads and ditches are flooding.
Please slow down. #PEI",,Sat Aug 18 15:32:07 +0000 2018
teagascgrams,RT @CarlowWeather: #Ernesto is just a few hundred miles off the West Coast now latest charts and Sat images show most of the heavy rain a l…,#Ernesto is just a few hundred miles off the West Coast now latest charts and Sat images show most of the heavy rain a little further north with Northern half of country seeing most of the rainfall tonight. https://t.co/9VXqp8bT57,Sat Aug 18 15:31:39 +0000 2018
ajithkkrishna,"@msdhoni People in kerala are suffering huge loss due to heavy rain and flood,this requires worlds attention, so sir we are expecting a contribution from your side.
#Standwithkerala https://t.co/OW3wkeKOmL",,Sat Aug 18 15:31:38 +0000 2018
courtniexcx,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:31:30 +0000 2018
britt_bartell,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:31:05 +0000 2018
vj_joseph,"RT @News18Kerala: ആശ്വാസവാർത്ത; ഇനി അതിശക്തമായ മഴ പെയ്യില്ല 
#keralafloods
https://t.co/TD0OfWDE1G","ആശ്വാസവാർത്ത; ഇനി അതിശക്തമായ മഴ പെയ്യില്ല 
#keralafloods
https://t.co/TD0OfWDE1G",Sat Aug 18 15:30:42 +0000 2018
Bowler1961,"@cstclair1 Concern now is for Tuesday. Southern Ontario could see plenty of thunderstorms, some possibly severe. GTA could experience another heavy rain episode.",,Sat Aug 18 15:30:39 +0000 2018
buccos08,RT @NWS_MountHolly: A warm and humid Saturday for most. Showers and storms are likely this afternoon as a cold front slowly works its way s…,A warm and humid Saturday for most. Showers and storms are likely this afternoon as a cold front slowly works its way south. Heavy rain is also possible and so a Flash Flood Watch continues to remain in effect for most of the area through this afternoon. #PAwx #NJwx #MDwx #DEwx https://t.co/kJFh6agiNE,Sat Aug 18 15:30:36 +0000 2018
MyWeather_MAN,"#Manchester rain stopping in 55 min 26°c with heavy intensity rain, you can expect light rain until this afternoon #MyWeather",,Sat Aug 18 15:30:24 +0000 2018
hulllive,It's bringing some strong winds and heavy rain to the UK https://t.co/Y3NVjH5gMW,,Sat Aug 18 15:30:00 +0000 2018
350SouthAsia,"Heavy rainfall used to occur in Kerala, but not with such continuity. This time, there has been widespread rain continually for a long time which has not been seen in recent years. #KeralaFloods https://t.co/EqvKCpWM3e",,Sat Aug 18 15:30:00 +0000 2018
TyshellP,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:29:59 +0000 2018
Pniemenmaa,"TV NIGHTS: This week's comments are on the collapsed bridge in GENOA, on the heavy monsoon rain in INDIA +on the battles in AFGHANISTAN. Also on MADONNA and ARETHA FRANKLIN + on a new episode of Bletchley Circle: San Francisco. 
  Read the comments on https://t.co/MHqh4p4kEA https://t.co/ogyB2Vapjn",,Sat Aug 18 15:29:54 +0000 2018
IngaSilberg,"We have had a very nice long and hot summer, so this type of heavy rain was needed. But it was not fun to drive! #nature #driving #heavyrain #rain #needed #notfuntodrive #roadtrip #weekend… https://t.co/d3M48ppy70",,Sat Aug 18 15:29:49 +0000 2018
kindzmind,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:29:38 +0000 2018
Ocean100News,"Careful driving this afternoon on the Island as water is pooling in many roads from heavy rain that is coming down.
39-40 mm expected.
Some roads and ditches are flooding.
Please slow down. #PEI",,Sat Aug 18 15:28:59 +0000 2018
jenwsheehan,RT @NWS_MountHolly: A warm and humid Saturday for most. Showers and storms are likely this afternoon as a cold front slowly works its way s…,A warm and humid Saturday for most. Showers and storms are likely this afternoon as a cold front slowly works its way south. Heavy rain is also possible and so a Flash Flood Watch continues to remain in effect for most of the area through this afternoon. #PAwx #NJwx #MDwx #DEwx https://t.co/kJFh6agiNE,Sat Aug 18 15:28:29 +0000 2018
Rajkirankhandel,RT @otvnews: Bhubaneswar Municipal Corporation (#BMC) cancels weekly holiday of employees tomorrow in view of heavy rain forecast #Odisha h…,Bhubaneswar Municipal Corporation (#BMC) cancels weekly holiday of employees tomorrow in view of heavy rain forecast #Odisha https://t.co/81iT6QdOK2,Sat Aug 18 15:28:04 +0000 2018
martinied0816,"RT @NicholeEGomez: Isolated storms develop this afternoon. Some storms could produce heavy rain and gusty winds. https://t.co/lZ4kaVKGpS
#A…","Isolated storms develop this afternoon. Some storms could produce heavy rain and gusty winds. https://t.co/lZ4kaVKGpS
#ABC7 #FirstAlert https://t.co/3FW87nTW3V",Sat Aug 18 15:28:00 +0000 2018
suryawanshiMan,"In Kerala situation is really bad.
Heavy rain is becoming disaster.
Pray Pray pray pray pray pray pray pray pray and HELP Kerala and everyone stand safe  place..........😞😞 #kerala #keralafloods #keraladisaster #imalayali #keralapeople #keralarains #helpkerala #prayforkerala https://t.co/wP4kVDsVcb",,Sat Aug 18 15:27:45 +0000 2018
SMelega,RT @NWS_MountHolly: A warm and humid Saturday for most. Showers and storms are likely this afternoon as a cold front slowly works its way s…,A warm and humid Saturday for most. Showers and storms are likely this afternoon as a cold front slowly works its way south. Heavy rain is also possible and so a Flash Flood Watch continues to remain in effect for most of the area through this afternoon. #PAwx #NJwx #MDwx #DEwx https://t.co/kJFh6agiNE,Sat Aug 18 15:27:32 +0000 2018
ResultFilms,RT @weatherbell: Parts of the Central US will see heavy rain starting tomorrow and into the beginning of the work week. https://t.co/9wLG76…,Parts of the Central US will see heavy rain starting tomorrow and into the beginning of the work week. https://t.co/9wLG76XFOn,Sat Aug 18 15:27:21 +0000 2018
Race4caster,"RT @RacecastWx: Storms already firing up north &amp; northwest of @poconoraceway &amp; moving southeast towards the track, with more developing clo…","Storms already firing up north &amp; northwest of @poconoraceway &amp; moving southeast towards the track, with more developing close-by. Heavy rain expected today. Flash flood watch goes into effect at 2PM today. Here's the latest forecast graphic with radar at 10:40 AM EDT. @IndyCar https://t.co/Njx3uHt0pQ",Sat Aug 18 15:27:19 +0000 2018
badd_bunny1015,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:27:07 +0000 2018
amandamaeole,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:27:00 +0000 2018
DanielWaltz13,"heavy rain occuring in Epping,NH at 11:26am EDT.",,Sat Aug 18 15:26:57 +0000 2018
imthrlk,"RT @News18Kerala: ആശ്വാസവാർത്ത; ഇനി അതിശക്തമായ മഴ പെയ്യില്ല 
#keralafloods
https://t.co/TD0OfWDE1G","ആശ്വാസവാർത്ത; ഇനി അതിശക്തമായ മഴ പെയ്യില്ല 
#keralafloods
https://t.co/TD0OfWDE1G",Sat Aug 18 15:26:54 +0000 2018
fotoBlacknWhite,This photograph was taken in indoor stadium of my city on the day of Eid-ul-Fitr. Due to heavy rain the Eid prayer was arrenged in the indoor stadium. This little child... https://t.co/Od0hXRkgUX,,Sat Aug 18 15:26:35 +0000 2018
david_nolewajka,RT @weatherbell: Parts of the Central US will see heavy rain starting tomorrow and into the beginning of the work week. https://t.co/9wLG76…,Parts of the Central US will see heavy rain starting tomorrow and into the beginning of the work week. https://t.co/9wLG76XFOn,Sat Aug 18 15:26:32 +0000 2018
estinboo,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 15:26:32 +0000 2018
BurgerrB,"RT @CMofKarnataka: CM HD Kumaraswamy said that Rs.200 Cr. will be released as relief measures to rain-affected districts of Kodagu, Dakshin…","CM HD Kumaraswamy said that Rs.200 Cr. will be released as relief measures to rain-affected districts of Kodagu, Dakshina Kannada,Udupi,Hassan, Shivamogga, Chikkamagaluru&amp; Uttara Kannada.
All the DCs were directed to submit a report within 2days on losses incurred from heavy rain https://t.co/wxN4r9g4iv",Sat Aug 18 15:26:25 +0000 2018
News18Kerala,"ആശ്വാസവാർത്ത; ഇനി അതിശക്തമായ മഴ പെയ്യില്ല 
#keralafloods
https://t.co/TD0OfWDE1G",,Sat Aug 18 15:26:22 +0000 2018
