_deefanning,Anyone else having service interruption @rte #GALvLIM,,Sun Aug 19 14:50:14 +0000 2018
mindanaotimes,"Emergency water service interruption

WHEN: August 16, 2018, Thursday, 
From 6:30 a.m. to 1 p.m. 
(6 hours and 30 mins.)

WHERE: Entire Ecoland Subdivision, portion of Juna Subdivision (along the highway) and immediate environs.",,Wed Aug 15 23:14:34 +0000 2018
oitsupport,"Scheduled (Aug 28, 2018, 22:00 AKDT): Alaska Communications will be performing network maintenance to perform firmware upgrades. One interruption in service of up to 1 minute is anticipated during the maintenance window for unprotected service. Protecte… https://t.co/ghL087ZBxV",,Wed Aug 15 23:10:13 +0000 2018
dzIQ990,PUBLIC SERVICE: Mga lugar na maaapektuhan ng scheduled power interruption ng Meralco https://t.co/LYcLN6eToU,,Wed Aug 15 23:09:17 +0000 2018
jankniecel,good morning mga ka-water service interruption,,Wed Aug 15 22:36:07 +0000 2018
Ask_Spectrum,"@supersuz14p My apologies for the interruption in your service. If you can DM me and provide me with the full address, phone number and/or account number I would be glad to look into that for you. ^TV",,Wed Aug 15 22:16:09 +0000 2018
Ask_Spectrum,"@csr6thing My apologies for the interruption in your service. If you can DM me and provide me with the full address, phone number and/or account number I would be glad to look into that for you. ^TV",,Wed Aug 15 22:14:39 +0000 2018
ATTCares,"@Hoosiertigress Hey there! We don’t have any update reporting service interruption in your area. Click here https://t.co/WJtyaLS5iz to find out some troubleshooting steps that may help. If further assistance is needed, please DM us your account number and let us know if it is bundled. ^DavidH",,Wed Aug 15 22:05:30 +0000 2018
comcastcares,"@FFramerate Hi there, I would be more than happy to address your service interruption concerns. Pls send me a DM with your full first/last name and the phone number associated with the account so that I may confirm. -NIA",,Wed Aug 15 22:02:18 +0000 2018
comcastcares,"@dahat Oh no! I would like to look further into the service interruption in your area. Can you send me a DM with your full name, the full name on the account and the primary phone number? -BW",,Wed Aug 15 21:58:23 +0000 2018
AriasIssis,"RT @SWBNewOrleans: With our regular collections process underway for several weeks now, our team continues to be meticulous throughout this…","With our regular collections process underway for several weeks now, our team continues to be meticulous throughout this course of action. Delinquent account owners will get a letter in the mail giving them 10 days to resolve their accounts to avoid a service interruption.",Wed Aug 15 21:33:28 +0000 2018
dcarterII,"RT @SWBNewOrleans: With our regular collections process underway for several weeks now, our team continues to be meticulous throughout this…","With our regular collections process underway for several weeks now, our team continues to be meticulous throughout this course of action. Delinquent account owners will get a letter in the mail giving them 10 days to resolve their accounts to avoid a service interruption.",Wed Aug 15 21:30:02 +0000 2018
wdsu,"RT @SWBNewOrleans: With our regular collections process underway for several weeks now, our team continues to be meticulous throughout this…","With our regular collections process underway for several weeks now, our team continues to be meticulous throughout this course of action. Delinquent account owners will get a letter in the mail giving them 10 days to resolve their accounts to avoid a service interruption.",Wed Aug 15 21:28:43 +0000 2018
WWLTV,"RT @SWBNewOrleans: With our regular collections process underway for several weeks now, our team continues to be meticulous throughout this…","With our regular collections process underway for several weeks now, our team continues to be meticulous throughout this course of action. Delinquent account owners will get a letter in the mail giving them 10 days to resolve their accounts to avoid a service interruption.",Wed Aug 15 21:28:10 +0000 2018
rejyyylatineace,Good morning! May power service interruption daw mamaya so magcharge na. Hehe.,,Wed Aug 15 21:26:26 +0000 2018
readingquietly2,"@jack Even though the Nazis who were ganging up on me, using alts to bypass my blocking of them (and bragging about the fact that they had done so), having violated one rule after another, have seen no interruption in their service to this day.",,Wed Aug 15 21:15:09 +0000 2018
MMA_Metalhead69,RT @HarryBreadknapp: Apologies for the interruption in service. Had a lot of family stuff going on. All is FAAAAACKIN sweet. Hope you are a…,Apologies for the interruption in service. Had a lot of family stuff going on. All is FAAAAACKIN sweet. Hope you are all well. https://t.co/0dXu7slHxs,Wed Aug 15 21:07:30 +0000 2018
Ask_Spectrum,"@DarksideTed My apologies for the interruption in your service. If you can DM me and provide me with the full address, phone number and/or account number I would be glad to look into that for you. ^TV",,Wed Aug 15 20:21:37 +0000 2018
DirectorCELSJR,"RT @SWBNewOrleans: With our regular collections process underway for several weeks now, our team continues to be meticulous throughout this…","With our regular collections process underway for several weeks now, our team continues to be meticulous throughout this course of action. Delinquent account owners will get a letter in the mail giving them 10 days to resolve their accounts to avoid a service interruption.",Wed Aug 15 20:20:32 +0000 2018
William_hart,"RT @NydiaVelazquez: Tomorrow and Friday, there will be a water service interruption for Atlantic Ave. between Georgia Ave. To Logan Street…","Tomorrow and Friday, there will be a water service interruption for Atlantic Ave. between Georgia Ave. To Logan Street in Brooklyn. Please be aware and plan accordingly. It will start at 7AM and last for 8 hours, each day. More info below: https://t.co/pFxlTTNwsE",Wed Aug 15 20:16:45 +0000 2018
matbo2,"RT @NydiaVelazquez: Tomorrow and Friday, there will be a water service interruption for Atlantic Ave. between Georgia Ave. To Logan Street…","Tomorrow and Friday, there will be a water service interruption for Atlantic Ave. between Georgia Ave. To Logan Street in Brooklyn. Please be aware and plan accordingly. It will start at 7AM and last for 8 hours, each day. More info below: https://t.co/pFxlTTNwsE",Wed Aug 15 20:16:42 +0000 2018
olgita0101,"RT @NydiaVelazquez: Tomorrow and Friday, there will be a water service interruption for Atlantic Ave. between Georgia Ave. To Logan Street…","Tomorrow and Friday, there will be a water service interruption for Atlantic Ave. between Georgia Ave. To Logan Street in Brooklyn. Please be aware and plan accordingly. It will start at 7AM and last for 8 hours, each day. More info below: https://t.co/pFxlTTNwsE",Wed Aug 15 20:14:34 +0000 2018
CongressRTBot,"RT @NydiaVelazquez: Tomorrow and Friday, there will be a water service interruption for Atlantic Ave. between Georgia Ave. To Logan Street…","Tomorrow and Friday, there will be a water service interruption for Atlantic Ave. between Georgia Ave. To Logan Street in Brooklyn. Please be aware and plan accordingly. It will start at 7AM and last for 8 hours, each day. More info below: https://t.co/pFxlTTNwsE",Wed Aug 15 20:08:45 +0000 2018
NydiaVelazquez,"Tomorrow and Friday, there will be a water service interruption for Atlantic Ave. between Georgia Ave. To Logan Street in Brooklyn. Please be aware and plan accordingly. It will start at 7AM and last for 8 hours, each day. More info below: https://t.co/pFxlTTNwsE",,Wed Aug 15 20:08:44 +0000 2018
Kamz_Millie,"RT @NAWASAGrenada: Service interruption notice Grand Anse, St. George from the Post Office through to the Limes and surrounding communities…","Service interruption notice Grand Anse, St. George from the Post Office through to the Limes and surrounding communities from 6:00 p.m. today Wednesday, August 15th to 2:00a.m. on Thursday, August 16th, 2018.  Ensure you collect and store in clean covered containers.",Wed Aug 15 20:02:58 +0000 2018
a2hosting_alert,Resolved: [RESOLVED]mi3-ss34 :: Service Interruption,,Wed Aug 15 19:49:25 +0000 2018
bitsunrise,Bit Sunrise will be down for the next two hours. Service interruption issues. Sorry for the inconvenience.,,Wed Aug 15 19:47:14 +0000 2018
heartofnola,"RT @SWBNewOrleans: With our regular collections process underway for several weeks now, our team continues to be meticulous throughout this…","With our regular collections process underway for several weeks now, our team continues to be meticulous throughout this course of action. Delinquent account owners will get a letter in the mail giving them 10 days to resolve their accounts to avoid a service interruption.",Wed Aug 15 19:29:34 +0000 2018
Skyforce77,"@ParcAsterix Bon, askip c'est ma dashboard qui interfère avec la visu. Bref ils ont jamais d'interruption de service ou presque (en dessous: ce mois-ci) https://t.co/k1Ltiis9hL",,Wed Aug 15 19:21:01 +0000 2018
CaresseJ,"RT @SWBNewOrleans: With our regular collections process underway for several weeks now, our team continues to be meticulous throughout this…","With our regular collections process underway for several weeks now, our team continues to be meticulous throughout this course of action. Delinquent account owners will get a letter in the mail giving them 10 days to resolve their accounts to avoid a service interruption.",Wed Aug 15 19:16:41 +0000 2018
MidCityMessengr,"RT @SWBNewOrleans: With our regular collections process underway for several weeks now, our team continues to be meticulous throughout this…","With our regular collections process underway for several weeks now, our team continues to be meticulous throughout this course of action. Delinquent account owners will get a letter in the mail giving them 10 days to resolve their accounts to avoid a service interruption.",Wed Aug 15 19:16:09 +0000 2018
SnaggleJ,"RT @MUTHuddle: Sorry for the service interruption folks.  Twitter thought we were robots or something.  

~Snag","Sorry for the service interruption folks.  Twitter thought we were robots or something.  

~Snag",Wed Aug 15 19:05:52 +0000 2018
MUTHuddle,"Sorry for the service interruption folks.  Twitter thought we were robots or something.  

~Snag",,Wed Aug 15 19:05:46 +0000 2018
RMP_Utah,"@linda_beecher @saavymaven Linda, thank you for reaching out. The outage scheduled for tomorrow is a planned interruption. Unfortunately, sometimes the only way for us to safely perform work is with the service de-energized.",,Wed Aug 15 18:33:14 +0000 2018
BrunoDamani,"RT @NAWASAGrenada: Service interruption notice Grand Anse, St. George from the Post Office through to the Limes and surrounding communities…","Service interruption notice Grand Anse, St. George from the Post Office through to the Limes and surrounding communities from 6:00 p.m. today Wednesday, August 15th to 2:00a.m. on Thursday, August 16th, 2018.  Ensure you collect and store in clean covered containers.",Wed Aug 15 18:06:41 +0000 2018
NAWASAGrenada,"Service interruption notice Grand Anse, St. George from the Post Office through to the Limes and surrounding communities from 6:00 p.m. today Wednesday, August 15th to 2:00a.m. on Thursday, August 16th, 2018.  Ensure you collect and store in clean covered containers.",,Wed Aug 15 17:58:25 +0000 2018
SupportST3,"RT @sp_redelectric: #ComingSoontoTigard maybe, just maybe...we should invest in buses.  Since buses are what rescues MAX all the time.  I'v…","#ComingSoontoTigard maybe, just maybe...we should invest in buses.  Since buses are what rescues MAX all the time.  I've never, ever seen Shuttle MAX trains serving bus stops in a service interruption. https://t.co/88ddquO29P",Wed Aug 15 17:57:24 +0000 2018
brotherbraxton,"RT @SWBNewOrleans: With our regular collections process underway for several weeks now, our team continues to be meticulous throughout this…","With our regular collections process underway for several weeks now, our team continues to be meticulous throughout this course of action. Delinquent account owners will get a letter in the mail giving them 10 days to resolve their accounts to avoid a service interruption.",Wed Aug 15 17:49:40 +0000 2018
ATTCares,"@LW0226 Hello, Leann! Thanks for reaching out. Currently, we do not show a service interruption in your area. Try troubleshooting your wireless device at https://t.co/maqia1jzHs Let us know if the link provided was helpful. ^ErinJ",,Wed Aug 15 17:44:01 +0000 2018
CharlesCoMD,"Water Service Interruption/Water Usage Restriction - Pep Rally Ln, Waldorf, MD
Today, 8/15/18, 2 p.m., water service will be interrupted to Pep Rally Ln between Principal St and Super St (North Point Neighborhood) due to a service line repair. Department of Public Works, Utilitie",,Wed Aug 15 17:41:02 +0000 2018
AlgiersLady,"RT @SWBNewOrleans: With our regular collections process underway for several weeks now, our team continues to be meticulous throughout this…","With our regular collections process underway for several weeks now, our team continues to be meticulous throughout this course of action. Delinquent account owners will get a letter in the mail giving them 10 days to resolve their accounts to avoid a service interruption.",Wed Aug 15 17:31:59 +0000 2018
