McCringie,"Quake Champions, I quit for a while and am prob bad: https://t.co/QV6LDjHp1q via @YouTube",,Sat Aug 18 20:16:29 +0000 2018
schorodinger_,RT @earthquake_jp: ［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #ea…,［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #earthquake,Sat Aug 18 17:40:00 +0000 2018
BlueTurbanStone,@Xitmuse #metal #rock #funk #rap #trap #hiphop No Kidding or Bull Shitting. I got the Baddest leadoff tracks album going. I step 2 ANY artist Major or Indie: Step to Me! Frome Drake 2 Jake I'll make ya all Quake! Play music by Blue Turban Stone - https://t.co/fMhaOW54fA,,Sat Aug 18 17:39:59 +0000 2018
hungrybinnie,RT @yutospics: 171203 ✧ *.ﾟ© mind quake https://t.co/N7tJmn9Ekq,171203 ✧ *.ﾟ© mind quake https://t.co/N7tJmn9Ekq,Sat Aug 18 17:39:51 +0000 2018
Papa_Quake,@PhiTheChi @Ethereal_RBLX IKR THE BISENTO,,Sat Aug 18 17:39:30 +0000 2018
BlueTurbanStone,@young_ar_n1 #metal #rock #funk #rap #trap #hiphop No Kidding or Bull Shitting. I got the Baddest leadoff tracks album going. I step 2 ANY artist Major or Indie: Step to Me! Frome Drake 2 Jake I'll make ya all Quake! Play music by Blue Turban Stone - https://t.co/fMhaOW54fA,,Sat Aug 18 17:39:00 +0000 2018
DryderMataroa,Quake Champions may be coming to console https://t.co/gTQgw2JKVL via @@DryderMataroa,,Sat Aug 18 17:38:57 +0000 2018
Colonthreee,RT @ChexGuy: chio-chan says play quake 4 https://t.co/wkZwNThhSL,chio-chan says play quake 4 https://t.co/wkZwNThhSL,Sat Aug 18 17:38:21 +0000 2018
BlueTurbanStone,@_prawn_star_ #metal #rock #funk #rap #trap #hiphop No Kidding or Bull Shitting. I got the Baddest leadoff tracks album going. I step 2 ANY artist Major or Indie: Step to Me! Frome Drake 2 Jake I'll make ya all Quake! Play music by Blue Turban Stone - https://t.co/fMhaOW54fA,,Sat Aug 18 17:37:54 +0000 2018
Papa_Quake,@Ethereal_RBLX BISENTO,,Sat Aug 18 17:37:34 +0000 2018
girlnamedmaggie,"RT @cypherrrino: Tomorrow 16:00 CET @QUAKE stream , cu there !
https://t.co/LZ3JnIJInJ","Tomorrow 16:00 CET @QUAKE stream , cu there !
https://t.co/LZ3JnIJInJ",Sat Aug 18 17:37:09 +0000 2018
shinji_quake,響震路ミニアルバム「Quake up @ nd down」製作裏話。アルバム参加者のsoundorbisさんは楽曲提供、マスタリング、webサイト製作、等色々働きすぎだよ！頼りになり過ぎておるびす兄さん！！と呼ばれ始めたよ！！,,Sat Aug 18 17:36:59 +0000 2018
softtonys,RT @ginnygardncr: @softtonys daisy can quake those stones at the right frequency,@softtonys daisy can quake those stones at the right frequency,Sat Aug 18 17:36:45 +0000 2018
1Pizza_Snail,"@PinballFX at 2:00 PM EST US. Going to go back to PInball FX2 for a couple tables that didn't make it to Pinball FX3. Stop in, click that follow, subscribe if you would like. Join the fun that is Filthy #$%^-ing Pinball! #BanzaiRoyale @PUBG and @Quake after. See you then! 🍕🐌 https://t.co/Ei1BpZe9V9",,Sat Aug 18 17:36:39 +0000 2018
EQAlerts,"#Earthquake M3.9 11 km al Este de Puerto Jimenez, Golfito. 18 Aug 17:18 UTC - report/info: 
https://t.co/y0TPT6NNEb",,Sat Aug 18 17:36:10 +0000 2018
Papa_Quake,@Jack45790395 @ChiefDaysRBLX Sadly yes,,Sat Aug 18 17:36:08 +0000 2018
ultshongmom,RT @yutospics: 171203 ✧ *.ﾟ© mind quake https://t.co/N7tJmn9Ekq,171203 ✧ *.ﾟ© mind quake https://t.co/N7tJmn9Ekq,Sat Aug 18 17:35:52 +0000 2018
sadcrowprince,or where the hit detection is client-side rather than server-side so laggy players are heavily compensated? IN A QUAKE TITLE? ON PC?,,Sat Aug 18 17:35:46 +0000 2018
HoodieAK,come watch quake champions Sirius duely,,Sat Aug 18 17:35:05 +0000 2018
chusha0,"地震情報
https://t.co/zgWWzgY2ha",,Sat Aug 18 17:35:00 +0000 2018
miamibeachPI,"RT @assaphmehr: Finally! I'm proud to announce the release of the second Story of Togas, Daggers, and Magic - In Numina!

3 years in the wo…","Finally! I'm proud to announce the release of the second Story of Togas, Daggers, and Magic - In Numina!

3 years in the works, countless hours researching ancient ghosts, and extensive editing - all for a beautiful that would make even Cicero quake!

https://t.co/IAt6pqnNLp https://t.co/v0IcKNfpC8",Sat Aug 18 17:34:50 +0000 2018
wataneri_neko,RT @eqinfo: 震度１ 三重県 https://t.co/w9ExzkfZfn,震度１ 三重県 https://t.co/w9ExzkfZfn,Sat Aug 18 17:34:46 +0000 2018
fAh9222,"RT @theedgemarkets: Flash: Magnitude 6.6 quake hits North East of Raba, Indonesia; depth 564 km — USGS","Flash: Magnitude 6.6 quake hits North East of Raba, Indonesia; depth 564 km — USGS",Sat Aug 18 17:34:04 +0000 2018
Airu_Web,【PC】QuakeChampionsを深夜にプレイ https://t.co/CzfJ4831m3 #Quake Champions @OPENRECさんから,,Sat Aug 18 17:34:01 +0000 2018
miumiu2407,RT @earthquake_jp: ［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #ea…,［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #earthquake,Sat Aug 18 17:33:05 +0000 2018
KurumiToki,she's also able to call and dismiss the space quake at her will as shown in the series -c-,,Sat Aug 18 17:33:02 +0000 2018
qlrl,［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/JYozmXkXUp ) #saigai #jishin #earthquake,,Sat Aug 18 17:32:17 +0000 2018
sm_mgrm,RT @earthquake_jp: ［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #ea…,［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #earthquake,Sat Aug 18 17:32:12 +0000 2018
AngelicUniverse,"I added a video to a @YouTube playlist https://t.co/jsoiXtXA6g Breaking: “Powerful 6.1 Quake Just Shook Costa Rica""",,Sat Aug 18 17:31:57 +0000 2018
sectest9,RT @UltraVi93323546: #doom #Friday #art #technology #trending #dangerous #heart #games #videogames #doometernal #fridayfeeling #quake #quak…,#doom #Friday #art #technology #trending #dangerous #heart #games #videogames #doometernal #fridayfeeling #quake #quakecon #xrp #xvg #ultraviolence https://t.co/YdC3tCtQjQ,Sat Aug 18 17:31:28 +0000 2018
UltraVi93323546,#doom #Friday #art #technology #trending #dangerous #heart #games #videogames #doometernal #fridayfeeling #quake #quakecon #xrp #xvg #ultraviolence https://t.co/YdC3tCtQjQ,,Sat Aug 18 17:31:13 +0000 2018
LuxenDM,"@34bigthings More aout space assault please! If its Space Quake, then its everything I need!",,Sat Aug 18 17:31:11 +0000 2018
s_aeras,RT @earthquake_jp: ［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #ea…,［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #earthquake,Sat Aug 18 17:30:51 +0000 2018
gla55m,Quake in your Boots @GerardBattenMEP as @Nigel_Farage is back and will overwelm @UKIP in his first speech. Your leadership campaign was a waste of members money. https://t.co/moOz5cWTyC,,Sat Aug 18 17:30:30 +0000 2018
real_checkered,all the fucking shit im going through just to make the original quake run on my windows 10 pc https://t.co/gHvDpw2O4p,,Sat Aug 18 17:29:54 +0000 2018
the_suicider,"@Quake The Edge and Warehouse, when??",,Sat Aug 18 17:29:43 +0000 2018
afiq239,"RT @theedgemarkets: Flash: Magnitude 6.6 quake hits North East of Raba, Indonesia; depth 564 km — USGS","Flash: Magnitude 6.6 quake hits North East of Raba, Indonesia; depth 564 km — USGS",Sat Aug 18 17:29:40 +0000 2018
KaiotoGG,"LIVE PLAYING QUAKE CHAMPIONS!
https://t.co/R2D5vlw4es
#UKStreamers #QuakeStreamers #TwitchSharer #TwitchRT",,Sat Aug 18 17:29:06 +0000 2018
feralknights,"RT @Mclogenog: New blog post with some notes on the design of ""Recursion"" for Quake https://t.co/qfmzC4ANmM","New blog post with some notes on the design of ""Recursion"" for Quake https://t.co/qfmzC4ANmM",Sat Aug 18 17:28:48 +0000 2018
LakeTahoeMoon,Indonesia quake triggers tsunami alert https://t.co/v1I6pY3YeQ,,Sat Aug 18 17:28:39 +0000 2018
GeniusBoyPR,"RT @RoundTableMGRP: Want radio play for 60 days on 105.2 the star
88.8 the quake!
98.5 fm kmix and
98.2 the beat 

If you have hot new musi…","Want radio play for 60 days on 105.2 the star
88.8 the quake!
98.5 fm kmix and
98.2 the beat 

If you have hot new music to get out there then yes you do! 

Just DM to get started!

#radioplay
#breakingmusic
#marketing
#roundtablemusicgroup https://t.co/l0nlH2Fr5v",Sat Aug 18 17:27:50 +0000 2018
vjchats_IN,"Professionally offended Commies/Regionalists/family retainers want rest of India to trust 
1. CM who uses relief fund for personal chopper use
2.  Half CM
3. Pappu
with #KeralaFloodRelief than
1. Army
2. Man who saved #Gujarat from cyclone/quake/riots
Alibaug se samjha he kya.",,Sat Aug 18 17:27:14 +0000 2018
ginnygardncr,@softtonys daisy can quake those stones at the right frequency,,Sat Aug 18 17:26:50 +0000 2018
Voldemorgoth,@softtonys girl read some comic books. If you are so delusional to think that Quake can take on a Infinity stone powered Thanos then you truly know nothing about the Marvel universe. Seriously you are embarassing yourself with that fangirl logic.,,Sat Aug 18 17:26:25 +0000 2018
LIKNINPAKR,RT @MesutOzil1088: Shocked and sad to hear about the new earth quake in Indonesia where I have always been getting so much support from. In…,Shocked and sad to hear about the new earth quake in Indonesia where I have always been getting so much support from. Including you beautiful people into my prayers 🙏🏽 https://t.co/yhg8XvPLvd,Sat Aug 18 17:26:19 +0000 2018
fmy74,RT @earthquake_jp: ［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #ea…,［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #earthquake,Sat Aug 18 17:26:01 +0000 2018
quake_n_bake,RT @ansonsart: Jeffree Star is really making moves out here https://t.co/MMTYTBzPYC,Jeffree Star is really making moves out here https://t.co/MMTYTBzPYC,Sat Aug 18 17:25:13 +0000 2018
pahlavvan,@jadi @freenetman عالیه منم استفاده می‌کنم ازش. عاشق ترمینال‌هایی هستم که quake mode دارن و tilix از بهترین‌هاشونه بنظرم. با f12 در حالت quake لانچش می‌کنم.,,Sat Aug 18 17:25:08 +0000 2018
JoomLv,📢 #Quake #Live #Stream #Квака #Online #Gameplay #Twitch #Youtube #Game #Gaming #игра #Joom_lv https://t.co/nhRKrZyNqi,,Sat Aug 18 17:25:06 +0000 2018
LizardSpine,He añadido un vídeo a una lista de reproducción de @YouTube (https://t.co/BTmj6Bb16U - New Quake Champions OST (Name Unknown)).,,Sat Aug 18 17:24:41 +0000 2018
lambofkozz,@Quake Ahhhhhhhjjhh shuiiiiiiiittttt,,Sat Aug 18 17:24:41 +0000 2018
hanbee34,RT @earthquake_jp: ［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #ea…,［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #earthquake,Sat Aug 18 17:24:20 +0000 2018
lambofkozz,"RT @Quake: So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #play…","So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #playitagain https://t.co/sHjmhgYHc4",Sat Aug 18 17:24:18 +0000 2018
docrhymebot,"flare in square
fake in quake",,Sat Aug 18 17:23:19 +0000 2018
MitjaRoskaric,"RT @Mclogenog: New blog post with some notes on the design of ""Recursion"" for Quake https://t.co/qfmzC4ANmM","New blog post with some notes on the design of ""Recursion"" for Quake https://t.co/qfmzC4ANmM",Sat Aug 18 17:23:10 +0000 2018
daioh_official,RT @earthquake_jp: ［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #ea…,［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #earthquake,Sat Aug 18 17:23:07 +0000 2018
Oninux,"@Quake Cool ! But I think it would have looked better with the Ithaganal them (metal structures). Hopefully the map after will be a mix of Ithaganal, space, and night blue lighting !",,Sat Aug 18 17:23:03 +0000 2018
Yoshi_0072200,RT @earthquake_jp: ［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #ea…,［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #earthquake,Sat Aug 18 17:23:02 +0000 2018
cheersKB,"RT @cypherrrino: Tomorrow 16:00 CET @QUAKE stream , cu there !
https://t.co/LZ3JnIJInJ","Tomorrow 16:00 CET @QUAKE stream , cu there !
https://t.co/LZ3JnIJInJ",Sat Aug 18 17:22:27 +0000 2018
cypherrrino,"Tomorrow 16:00 CET @QUAKE stream , cu there !
https://t.co/LZ3JnIJInJ",,Sat Aug 18 17:22:15 +0000 2018
Mizuhosuizenkoh,RT @earthquake_jp: ［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #ea…,［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #earthquake,Sat Aug 18 17:22:09 +0000 2018
EarthquakesJA,02:12 JST 19 Aug 2018: M2.1 earthquake in Mie-ken Nambu: https://t.co/mhhTLEZOtp,,Sat Aug 18 17:22:02 +0000 2018
Mclogenog,"New blog post with some notes on the design of ""Recursion"" for Quake https://t.co/qfmzC4ANmM",,Sat Aug 18 17:21:57 +0000 2018
THEEQLT,"@Quake bad map, sad. DUNNO who play on this - total casual?",,Sat Aug 18 17:21:56 +0000 2018
Quake_Fit,"RT @IRIS_EPO: Looking for classroom ready lessons and activities on #earthquakes, #volcanoes, waves, geology or plate tectonics? We’ve got…","Looking for classroom ready lessons and activities on #earthquakes, #volcanoes, waves, geology or plate tectonics? We’ve got you covered! Searchable by topic, learning level and language. https://t.co/Nh6ArqxI3E #BackToSchool https://t.co/Fvf06VPXZy",Sat Aug 18 17:21:33 +0000 2018
akifmuller96,"RT @theedgemarkets: Flash: Magnitude 6.6 quake hits North East of Raba, Indonesia; depth 564 km — USGS","Flash: Magnitude 6.6 quake hits North East of Raba, Indonesia; depth 564 km — USGS",Sat Aug 18 17:21:32 +0000 2018
Billekeingrid,RT @earthquake_jp: ［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #ea…,［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #earthquake,Sat Aug 18 17:21:29 +0000 2018
xxluckyxx5,@JoeyGraceffa Janiel piglets are gonna quake when they read the last sentence,,Sat Aug 18 17:21:23 +0000 2018
h2_reeys,RT @earthquake_jp: ［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #ea…,［気象庁情報］19日　02時12分頃　三重県南部（N34.1/E136.2）にて　最大震度1（M2.1）の地震が発生。　震源の深さは10km未満。( https://t.co/PaPS7YBVpi ) #saigai #jishin #earthquake,Sat Aug 18 17:21:19 +0000 2018
