SalahMmoustafa,"No thoughts no prayers can bring back what’s no longer there 
 https://t.co/FL27f3RRLE",,Sun Aug 19 00:19:13 +0000 2018
ProudAm5,RT @clevecarrier: @ProudAm5 @Maggieb1B @Boo3zero5 @girl4_trump @trumpovic02 @VanbeckVance @BobHarr1944 @emtee2355 @vachilly64 @aligiarc @JM…,"@ProudAm5 @Maggieb1B @Boo3zero5 @girl4_trump @trumpovic02 @VanbeckVance @BobHarr1944 @emtee2355 @vachilly64 @aligiarc @JMReflectionsof @Pickles0201 @Ldaught2 @ArmyOfTrump1 @JohnnyB371 @LeighScott_STL @EvOConnor15 Vote Red, please. And support our President and the First Lady. Keep Sarah H. Sanders in your thoughts and prayers. She is so good. Support all our men and women in uniform. At home and abroad! And don’t forget to thank them for being there.",Sat Aug 18 23:25:13 +0000 2018
SidGaut22547984,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 23:25:10 +0000 2018
Williams_J_D,RT @usmc1940: Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’…,Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’alls prayers and positive thoughts. He hasn’t lost his Gung-ho Marine attitude; telling me just now “We’ll get through this. I’ve been through worse”. https://t.co/cv5ReCzgxI,Sat Aug 18 23:25:00 +0000 2018
DhanaRa13094992,RT @sambillings: Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #Ke…,Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #KeralaDonationChallenge,Sat Aug 18 23:25:00 +0000 2018
skkanchee,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 23:24:33 +0000 2018
333Popeye3,RT @usmc1940: Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’…,Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’alls prayers and positive thoughts. He hasn’t lost his Gung-ho Marine attitude; telling me just now “We’ll get through this. I’ve been through worse”. https://t.co/cv5ReCzgxI,Sat Aug 18 23:24:29 +0000 2018
TheRealChaoku,@Avxry I'm so sorry Avery. That's a tough thing to deal with. Keeping you and tour family in my thoughts and prayers,,Sat Aug 18 23:24:10 +0000 2018
symkmr_syam,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 23:24:09 +0000 2018
khajashaik15,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sat Aug 18 23:23:54 +0000 2018
FunInMia,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 23:23:40 +0000 2018
Uncle_Jebus,I’m tired of this “Thoughts and prayers” phenomenon on social media. Since when has prayer ever helped anyone? via /r/atheism https://t.co/PumK17McVg #atheist #humanist,,Sat Aug 18 23:23:25 +0000 2018
akbarsha03,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 23:23:19 +0000 2018
L2Hess,"RT @LisaHendey: One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pasto…","One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pastoral service of others and have never harmed a soul but are suffering now for the sins of others, you are in my thoughts and prayers.",Sat Aug 18 23:23:01 +0000 2018
xoxoslc,RT @Maryaclare: @pbpsports And yet tRump tweeted out immediately that the guy who drove into cyclists in London this week was a terrorist a…,@pbpsports And yet tRump tweeted out immediately that the guy who drove into cyclists in London this week was a terrorist attacker. The Police and Terrorism Unit in the UK now say not so. Will tRump comment on this apart from thoughts and prayers?,Sat Aug 18 23:22:54 +0000 2018
DanClark77,Thoughts and prayers requested! https://t.co/2GjtrZUrgF,,Sat Aug 18 23:22:40 +0000 2018
ShonteJada,RT @layne_buzan: My cobra fam could use all the thoughts &amp; prayers today as we had to say “see you later” to one of our own today. Didn’t j…,"My cobra fam could use all the thoughts &amp; prayers today as we had to say “see you later” to one of our own today. Didn’t just lose a classmate, we lost a family member. Love you forever chelbo &amp; stay strong today cobras🐍❤️ https://t.co/XNNHhsd0yy",Sat Aug 18 23:22:17 +0000 2018
GeorgeLedsinger,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 23:21:57 +0000 2018
Dancensuds,@DMM727 I'm so sorry to read this. You're in my thoughts and prayers.,,Sat Aug 18 23:21:49 +0000 2018
joydiane27_joy,@PaigeForExample Hold onto your faith. Sending prayers to you and all your family and positive thoughts for peace of mind and good health.🙏🏼💐,,Sat Aug 18 23:21:45 +0000 2018
egafca,"Our thoughts and prayers continue to be with this team, school, community, and family. #FCAmily https://t.co/imr1wTyP0E",,Sat Aug 18 23:21:40 +0000 2018
16tmoney,"RT @Alustig14: @bpollockpac @16tmoney @UCLA @debidoc16 @RickDockins We believe in you, Taylor! Thoughts and prayers headed your way. You wi…","@bpollockpac @16tmoney @UCLA @debidoc16 @RickDockins We believe in you, Taylor! Thoughts and prayers headed your way. You will kick cancer in the butt! #TaylorStrong 💚",Sat Aug 18 23:21:39 +0000 2018
kcolaizzo,"RT @AliAdair22: 🙏Thoughts and prayers didn’t stop Columbine. They didn’t stop Blacksburg. They didn’t stop Sandy Hook, Parkland or Santa Fe…","🙏Thoughts and prayers didn’t stop Columbine. They didn’t stop Blacksburg. They didn’t stop Sandy Hook, Parkland or Santa Fe. Don’t rely on thoughts and prayers this November. Vote for candidates who support sensible gun safety. #FlipTheSenate #VoteBlue https://t.co/136ZpmZ1dv",Sat Aug 18 23:21:29 +0000 2018
Noname63734627,RT @MFIRDOWS: @MeufUrbaine @rosedesable643 One more month and we will know the end of the confrontation! Our prayers and our thoughts for P…,@MeufUrbaine @rosedesable643 One more month and we will know the end of the confrontation! Our prayers and our thoughts for Professor Tariq Ramadan unjustly detained #FreeTariqRamadan,Sat Aug 18 23:21:18 +0000 2018
naimaaaa_,RT @UtdLabile: @naimaaaa_ Hope you find the strength to overcome whatever is trying to bring you down. My thoughts and prayers are with you,@naimaaaa_ Hope you find the strength to overcome whatever is trying to bring you down. My thoughts and prayers are with you,Sat Aug 18 23:21:09 +0000 2018
MDoggNic,RT @usmc1940: Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’…,Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’alls prayers and positive thoughts. He hasn’t lost his Gung-ho Marine attitude; telling me just now “We’ll get through this. I’ve been through worse”. https://t.co/cv5ReCzgxI,Sat Aug 18 23:21:05 +0000 2018
akshayamn1993,RT @sambillings: Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #Ke…,Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #KeralaDonationChallenge,Sat Aug 18 23:20:12 +0000 2018
emorydave,RT @Scots_Football: Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Sat Aug 18 23:20:10 +0000 2018
akshayamn1993,RT @Eoin16: My thoughts as prayers are with everyone in Kerala effected by the horrific floods,My thoughts as prayers are with everyone in Kerala effected by the horrific floods,Sat Aug 18 23:20:02 +0000 2018
imsachinsaurabh,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 23:19:48 +0000 2018
JojoNoelleMA,RT @Asabob20: He was an inspirational international diplomat with unique distinction. He will forever remain one of the greatest Africans o…,He was an inspirational international diplomat with unique distinction. He will forever remain one of the greatest Africans of our time. My thoughts &amp; prayers are with the family of Mr. Annan. #RIP #KofiAnnan https://t.co/z0dgZC65i4,Sat Aug 18 23:19:48 +0000 2018
Kimber_80,"@shensworldnow I know how frustrating it can be dealing with insurance, especially after a move when all children should be covered regardless! Anyways sending prayers, positive thoughts, good vibes your way. Hope you get answers soon and all is ok.",,Sat Aug 18 23:19:43 +0000 2018
SavageDawg17,RT @Scots_Football: Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Sat Aug 18 23:19:36 +0000 2018
_Dr90210,"RT @GeoffreyOnyeama: Very sad to learn of the passing of @KofiAnnan, former @UN Secretary General. His family are in our thoughts and praye…","Very sad to learn of the passing of @KofiAnnan, former @UN Secretary General. His family are in our thoughts and prayers. https://t.co/HRLhXFAtg7",Sat Aug 18 23:19:31 +0000 2018
KatLeenaCdn,RT @mattkulak: I want you all to keep my cousin Wes Kulak in your thoughts and prayers today. He's gone missing on his way to Penticton fro…,I want you all to keep my cousin Wes Kulak in your thoughts and prayers today. He's gone missing on his way to Penticton from Stony Plain and hasn't been seen or heard from since Tuesday. Hoping for some good news soon.,Sat Aug 18 23:19:28 +0000 2018
figuthrie,RT @darrenwalker: Our hearts are heavy at the @FordFoundation. We lost a visionary leader and champion for peace &amp; justice today. Our thoug…,Our hearts are heavy at the @FordFoundation. We lost a visionary leader and champion for peace &amp; justice today. Our thoughts and prayers are with the Annan Family and with our friends at the @UN. https://t.co/Ry6CHlxELl,Sat Aug 18 23:19:28 +0000 2018
askzulfi,"Our thoughts and prayers for our friends in Kerala,India. 🙏🏽#karelafloods",,Sat Aug 18 23:19:23 +0000 2018
YokidsitsMaggie,"RT @LisaHendey: One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pasto…","One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pastoral service of others and have never harmed a soul but are suffering now for the sins of others, you are in my thoughts and prayers.",Sat Aug 18 23:19:15 +0000 2018
Kofi_Akwaboah,RT @Asabob20: He was an inspirational international diplomat with unique distinction. He will forever remain one of the greatest Africans o…,He was an inspirational international diplomat with unique distinction. He will forever remain one of the greatest Africans of our time. My thoughts &amp; prayers are with the family of Mr. Annan. #RIP #KofiAnnan https://t.co/z0dgZC65i4,Sat Aug 18 23:19:08 +0000 2018
renshaw_gary,"RT @MichMyersMUA: Dear environment,  sorry but we can’t commit to emissions targets even through we are killing you. We have our head so fa…","Dear environment,  sorry but we can’t commit to emissions targets even through we are killing you. We have our head so far up our backsides and have such a desperate need to cling to power that you just don’t matter to us. Thoughts and prayers, Aust Liberal Government. #insiders",Sat Aug 18 23:18:57 +0000 2018
bharatgandi,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sat Aug 18 23:18:55 +0000 2018
