ElkoDaily,"New fire south of Carlin burns 2,500-plus acres Thursday https://t.co/E1cpS8wpUT",,Fri Aug 24 04:48:09 +0000 2018
TJPTerryeP1,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 13:05:11 +0000 2018
CSIDanbury,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 13:04:36 +0000 2018
CalliesChaos,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 13:00:32 +0000 2018
TrevBaileeTymom,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 12:58:07 +0000 2018
Or3osnM1lk,"@CDF_firefighter @CalDisasters These acres are not destroyed, not all fire is bad.",,Fri Aug 17 12:56:34 +0000 2018
hbasham,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 12:55:25 +0000 2018
OGCloutsince96,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 12:48:40 +0000 2018
GREG_55,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 12:44:53 +0000 2018
ingrid4parks,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 12:42:35 +0000 2018
wannabecharlott,"RT @ABC: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 mil…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed, officials say. https://t.co/z61kh7mByZ https://t.co/1HlHetdZMd",Fri Aug 17 12:41:52 +0000 2018
glorianoble_,"RT @ABC: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 mil…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed, officials say. https://t.co/z61kh7mByZ https://t.co/1HlHetdZMd",Fri Aug 17 12:41:33 +0000 2018
rfoust62,"RT @ABC: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 mil…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed, officials say. https://t.co/z61kh7mByZ https://t.co/1HlHetdZMd",Fri Aug 17 12:39:20 +0000 2018
momiegirl01,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 12:35:51 +0000 2018
casabrenat,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 12:33:17 +0000 2018
ja_mon2012,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 12:31:28 +0000 2018
JeremyRayfield,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 12:31:13 +0000 2018
Tjhooker73PS3,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 12:29:45 +0000 2018
Andrew_weather,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 12:26:47 +0000 2018
teddyD66,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 12:25:16 +0000 2018
LuisMarquez_33,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 12:23:00 +0000 2018
MySackIsSaggy,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 12:22:45 +0000 2018
TWronker,"RT @Breaking911: ""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to…","""Firenado"" that killed California firefighter had a base the size of three football fields and was aided by winds of up to 165 miles per hour, officials say.

The Carr Fire has burned 214,527 acres, with a total of 1,077 homes destroyed - ABC News 

https://t.co/s4MuXpjnPc",Fri Aug 17 12:22:42 +0000 2018
