yes_that_girl_,@reni_rhe9 Kiun k rat mein sari sadness ubhar aati hai 😂😊,,Sat Aug 04 11:39:02 +0000 2018
MarxkD4,"RT @slimyswampghost: I like to watch this movie in the last months of summer. I feel like it's filled with the same melancholy energy, a we…","I like to watch this movie in the last months of summer. I feel like it's filled with the same melancholy energy, a weird sadness for the end of the warm days, like looking back at a cabin you spent a hot July in and seeing it empty and useless and waiting for another year. https://t.co/unUzxQGGIV",Sat Aug 04 11:16:47 +0000 2018
barneswtaf,"RT @barneswtaf: You know like in the movie Inside Out, do you think Sadness takes over the Headquarter for Bucky and thats why all his core…","You know like in the movie Inside Out, do you think Sadness takes over the Headquarter for Bucky and thats why all his core memories ends up in memory dump and all other memories turn blue?",Sat Aug 04 11:16:47 +0000 2018
asdfghjkllrrm,"RT @myshortpoems: HER

She smiles even though she's in pain
She laugh even though she's always crying
No one notice her sadness
She always…","HER

She smiles even though she's in pain
She laugh even though she's always crying
No one notice her sadness
She always hides it in her mask

GRACE",Sat Aug 04 11:16:41 +0000 2018
gellygraceee,"RT @krstnxncl: I made sadness lock screens. Heehee 💙
.
.
.
.
.
.
.
©️redits to the photos i used https://t.co/grRjyai0ir","I made sadness lock screens. Heehee 💙
.
.
.
.
.
.
.
©️redits to the photos i used https://t.co/grRjyai0ir",Sat Aug 04 11:16:39 +0000 2018
eatifybling,"RT @mxsriyatalks: the more i sin, the sadder i get &amp; then i realise the only thing in this dunya i can really depend on is Allah swt. thing…","the more i sin, the sadder i get &amp; then i realise the only thing in this dunya i can really depend on is Allah swt. things were made haram for a reason, we think that our hearts can handle it, but they can’t. sadness is a blessing &amp; a curse.",Sat Aug 04 11:16:27 +0000 2018
SiwXBSXvuFyX4Zo,"@seven_sadness ねっ。うちの場合
スルー",,Sat Aug 04 11:16:24 +0000 2018
babydoll_51,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 11:16:22 +0000 2018
SoniaKi78699968,"RT @TheAtlantic: The enduring power of Amy Winehouse's 'Back to Black,' by Spencer Kornhaber https://t.co/wKUcmqf2Y4 https://t.co/h64iHg3itW","The enduring power of Amy Winehouse's 'Back to Black,' by Spencer Kornhaber https://t.co/wKUcmqf2Y4 https://t.co/h64iHg3itW",Sat Aug 04 11:16:17 +0000 2018
Jojoieee99,"RT @pillowxthoughts: even if your sadness 
feels quite heavy
the truth is
it’s just a paperweight 
learn to turn the page","even if your sadness 
feels quite heavy
the truth is
it’s just a paperweight 
learn to turn the page",Sat Aug 04 11:16:14 +0000 2018
caieby,@Xery i tweeted this out of pure sadness and you decide to nab it i want to fucking di,,Sat Aug 04 11:16:13 +0000 2018
aaiii_ayob,"RT @itsteme: Life is full of ups &amp; downs,
It's impossible to feel happy all the time.

Nothing is permanent in this world.
Not even our tro…","Life is full of ups &amp; downs,
It's impossible to feel happy all the time.

Nothing is permanent in this world.
Not even our troubles &amp; sadness.

It's not about forcing yourself to be happy,
It's about not letting your sadness win.",Sat Aug 04 11:16:11 +0000 2018
ellementality,RT @achildishart: Some days you just gotta really feel your sadness. Feel it and allow it to pass. Constantly suppressing it just pushes it…,"Some days you just gotta really feel your sadness. Feel it and allow it to pass. Constantly suppressing it just pushes it into the future and when it builds, you will blow.",Sat Aug 04 11:16:10 +0000 2018
seven_sadness,@SiwXBSXvuFyX4Zo 母は強してやつ,,Sat Aug 04 11:16:06 +0000 2018
hadisstansbts,RT @serendipityunki: Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Sat Aug 04 11:16:03 +0000 2018
HannahS75695912,"RT @spncralexis: When the sad emotions are running high and you get a notification that @jackntbox followed you, your face lights up and sa…","When the sad emotions are running high and you get a notification that @jackntbox followed you, your face lights up and sadness is momentarily forgotten. Thanks for the follow back Asmodaddy! 

#TeamEdom #SaveShadowhunters https://t.co/fWzwjR4NX3",Sat Aug 04 11:16:02 +0000 2018
NidaPeabadly,"RT @redbicycle1: I could never be
A good zen monk
Stonehouse 
I never want to
Get beyond
Love loss
Sadness
Longing
Or desire","I could never be
A good zen monk
Stonehouse 
I never want to
Get beyond
Love loss
Sadness
Longing
Or desire",Sat Aug 04 11:16:00 +0000 2018
txnzb,"RT @11paradisefound: Ibn Al-Qayyim (may Allah have mercy on him) said:

Sadness weakens the heart and diminishes determination and wanting…","Ibn Al-Qayyim (may Allah have mercy on him) said:

Sadness weakens the heart and diminishes determination and wanting to go forward. And there is nothing more beloved to the shaytaan than the sadness of a believer.",Sat Aug 04 11:15:58 +0000 2018
dcaracarmela,RT @serendipityunki: Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Sat Aug 04 11:15:55 +0000 2018
itahasafdar,I'm going to make to make everything around me beautiful and that will be my life. I dismiss this phases of sadness and depression. This is not me. I deserve better.,,Sat Aug 04 11:15:52 +0000 2018
Mygreatredmare,"RT @FaustiniMary: SAMSON, 5, #lab, has another day at #nycacc. He has a vol note, &amp; a u tube vid! Did not have an easy life. Let's turn his…","SAMSON, 5, #lab, has another day at #nycacc. He has a vol note, &amp; a u tube vid! Did not have an easy life. Let's turn his sadness into happiness, w/dancing eyes, huh? Can u give him a 🏡 w/ lots of ❤, &amp; TLC? But no meat products; allergic. #foster #adopt https://t.co/uuEIgjrDOm https://t.co/dDC7uXM9JX",Sat Aug 04 11:15:43 +0000 2018
Declang158,RT @xforcades2: Me dealing with my sadness by listening to sad music https://t.co/pZJpFZMP5B,Me dealing with my sadness by listening to sad music https://t.co/pZJpFZMP5B,Sat Aug 04 11:15:42 +0000 2018
euladlcrz_,RT @VMiguelG: You save other people from sadness but no one saves you.,You save other people from sadness but no one saves you.,Sat Aug 04 11:15:38 +0000 2018
gibsondbg,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 11:15:36 +0000 2018
fitbablog,@_Nosa_ Look at the sadness and burgeoning catatonia behind their eyes,,Sat Aug 04 11:15:33 +0000 2018
minjusuga,"RT @felixskids: Felix: the comeback has a Kids feeling to it ;)

the teasers: death, destruction, and sadness","Felix: the comeback has a Kids feeling to it ;)

the teasers: death, destruction, and sadness",Sat Aug 04 11:15:32 +0000 2018
shairatuangco,"i used to save someone from their sadness, but no one saves me",,Sat Aug 04 11:15:24 +0000 2018
milleinnium,"Life is so ironic. It takes sadness to know what happiness is, noise to appreciate silence &amp; absence to value presence.",,Sat Aug 04 11:15:22 +0000 2018
queeniealiii,RT @theartofhugot: It hurts how sadness easily took over happiness.,It hurts how sadness easily took over happiness.,Sat Aug 04 11:15:15 +0000 2018
FS_smk,@Dear_sadness_ (까르르,,Sat Aug 04 11:15:12 +0000 2018
torimodosu25,"RT @11paradisefound: Ibn Al-Qayyim (may Allah have mercy on him) said:

Sadness weakens the heart and diminishes determination and wanting…","Ibn Al-Qayyim (may Allah have mercy on him) said:

Sadness weakens the heart and diminishes determination and wanting to go forward. And there is nothing more beloved to the shaytaan than the sadness of a believer.",Sat Aug 04 11:15:07 +0000 2018
gukgukmeonggg,"You cannot protect yourself from sadness without protecting
yourself from happiness.",,Sat Aug 04 11:15:06 +0000 2018
blackpinkway,RT @illusivedream_: we're not saying that the other members' not suffering sadness... it's just that they have different pain tolerance and…,we're not saying that the other members' not suffering sadness... it's just that they have different pain tolerance and jen has the weakest~ are u getting me? :( #WELOVEYOUJENNIE #WeLoveYouJendeukie,Sat Aug 04 11:14:57 +0000 2018
Celesstiaaaa,"RT @JonaxxCo: Hey,

Thank u for adding color to this fandom

Thank u for coming

Thank u for staying

Thank u for the happiness, sadness, a…","Hey,

Thank u for adding color to this fandom

Thank u for coming

Thank u for staying

Thank u for the happiness, sadness, anger, excitement and all the emotions u've shared with this family

Thank u for supporting @jonaxx_WP

#JSLMakingHI5TORY
#JSLFlyingHighForFiveYears",Sat Aug 04 11:14:40 +0000 2018
SiwXBSXvuFyX4Zo,@seven_sadness ママンすげぇ。ってなる,,Sat Aug 04 11:14:33 +0000 2018
hacar2,@sadness_saram 아이고 ㅠㅠ,,Sat Aug 04 11:14:32 +0000 2018
Supersay27,"RT @MaeTML: At end of the day, it is only you who can feel the sadness and emptiness. Not the people around you. So why give a damn on what…","At end of the day, it is only you who can feel the sadness and emptiness. Not the people around you. So why give a damn on what they say, they can sleep soundly at night while you find yourself crying.

@mor1019 #MORPinoyBiga10
Para Lang Sa'yo by McCoy De Leon and Elisse Joson",Sat Aug 04 11:14:31 +0000 2018
anoshayyy,RT @saamify: Sadness on your parents’ face and knowing you’re the reason... https://t.co/2SIgL7OdZY,Sadness on your parents’ face and knowing you’re the reason... https://t.co/2SIgL7OdZY,Sat Aug 04 11:14:23 +0000 2018
rxrara,RT @mxsriyatalks: i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a t…,i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a thing on Earth that’s worth your sadness.,Sat Aug 04 11:14:20 +0000 2018
FDColon,@kathygriffin Let me just fake some sadness here.,,Sat Aug 04 11:14:09 +0000 2018
SisiBisi_,"Heard something in Lee Daniels’ Star that touched me so much: It is a choice to be broken.

If you choose to wallow in sadness and not move on in situations you find yourself in it’s a choice. 🤔",,Sat Aug 04 11:14:09 +0000 2018
seven_sadness,@SiwXBSXvuFyX4Zo めっちゃわかる,,Sat Aug 04 11:14:08 +0000 2018
sandrajwyatt,RT @WomenOfHistory: I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,Sat Aug 04 11:14:02 +0000 2018
mimi_nash,"RT @EdmundKudzayi: Are there wild celebrations across the country? Sadly not. Just fear, sadness and the quiet sound of hope failing in the…","Are there wild celebrations across the country? Sadly not. Just fear, sadness and the quiet sound of hope failing in the hearts of millions. Plus of course marauding soldiers in intimidating tanks. Well done Dambudzo, you truly are a problem. https://t.co/60QC4UrceQ",Sat Aug 04 11:14:01 +0000 2018
FS_smk,@Dear_sadness_ 난 딱 떠오르는 포즈랑 앵글의 등신대가 방에 걸려있지롱^^,,Sat Aug 04 11:13:59 +0000 2018
sadness_saram,@hacar2 교육업은 기본적으로 모든 회사가 블랙기업이라,,Sat Aug 04 11:13:57 +0000 2018
crown_prince21,"RT @loistruly: Depression is not sadness.  Depression is not being broke.  It's not 'we've all been there',  it's not 'just pray and it'll…","Depression is not sadness.  Depression is not being broke.  It's not 'we've all been there',  it's not 'just pray and it'll go away',  or 'just think happy thoughts' , it's and illness that needs treatment 
#KeepTalkingMh https://t.co/ovFFyGYo7B",Sat Aug 04 11:13:52 +0000 2018
dejosephjie,RT @tagaykamunapre: I hate this feeling. This feeling of loneliness and the sadness creeping on me. Well maybe her smile would make me feel…,I hate this feeling. This feeling of loneliness and the sadness creeping on me. Well maybe her smile would make me feel better. But how?,Sat Aug 04 11:13:46 +0000 2018
bunnyhope7,"This cure my sadness!!

@BTS_twt #MMVAs #iHeartRadioMMVAs #FFGroupBTS #V #JHope #vhope https://t.co/D6hFh5UGrX",,Sat Aug 04 11:13:46 +0000 2018
SiwXBSXvuFyX4Zo,"@seven_sadness うちでは、トイレに出るから
無言でトイレに流して成敗してるママン",,Sat Aug 04 11:13:38 +0000 2018
Otieno_Jnr,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 11:13:34 +0000 2018
hacar2,@sadness_saram 블랙기업 근무 경력이요,,Sat Aug 04 11:13:25 +0000 2018
Ftiin_,"RT @danialzz__: may Allah heal the broken heart. the ones who are silent, who cannot express their pain. the ones who always tired of every…","may Allah heal the broken heart. the ones who are silent, who cannot express their pain. the ones who always tired of everything. the ones who need a break. may Allah put an end to your sadness, may He put a smile on your face.",Sat Aug 04 11:13:25 +0000 2018
iamMabhelle,RT @iambobongquotes: pls remove all this pain and sadness within myself,pls remove all this pain and sadness within myself,Sat Aug 04 11:13:24 +0000 2018
ghadaahmadd1,"RT @eightbitstories: there is a whole world of raging sadness inside of me, yet i'm full of optimism and hopes","there is a whole world of raging sadness inside of me, yet i'm full of optimism and hopes",Sat Aug 04 11:13:17 +0000 2018
