Tim70774497,I'm raising money for Carr fire . Click to Donate:  https://t.co/n0Z0jl0I9a via @gofundme,,Sat Aug 04 07:33:36 +0000 2018
RF_Caddie,RT @TrippIsenhourGC: I'm raising money for Jarrod Lyle’s Girls. Click to Donate:  https://t.co/4eIATHNNb4 via @gofundme,I'm raising money for Jarrod Lyle’s Girls. Click to Donate:  https://t.co/4eIATHNNb4 via @gofundme,Sat Aug 04 04:39:45 +0000 2018
Brenda28438744,I'm raising money for Funeral expenses for my grandmother. Click to Donate:  https://t.co/5Ae5YG43xK via @gofundme,,Sat Aug 04 04:39:29 +0000 2018
StephAndre_,"RT @pmtwgr: if ur able and willing u can donate money to help me stay on my feet while i job hunt, as well as make easier on my two nonbina…","if ur able and willing u can donate money to help me stay on my feet while i job hunt, as well as make easier on my two nonbinary roommates until i can fully pay rent, but i understand if not just support means the world honestly https://t.co/8mSX2VJrnY",Sat Aug 04 04:38:23 +0000 2018
Jelimann,@MrBeastYT Who's gonna donate money to randoms if you disappear?! What's gonna happen to all that content?!,,Sat Aug 04 04:37:29 +0000 2018
DanDotsethMN,"My ex boss flaked on me today and didn't give me my check and now I don't know how/when I'm going to get my money. If anyone could/ wanted to donate money to me I'd be so grateful, I have a lot of bills to pay... My PayPal email address is dannn.seth@gmail.com",,Sat Aug 04 04:37:24 +0000 2018
xjaprilx,"RT @JacobD9810: My fighter of a mom has less than six months to live, brain cancer has started to win this fight. We need money to treat he…","My fighter of a mom has less than six months to live, brain cancer has started to win this fight. We need money to treat her in other parts of the world. Please take time to read her journey and donate anything. Please help save my mom, I can’t lose her.  https://t.co/ltlOCwVPnF https://t.co/7FOEac6cNj",Sat Aug 04 04:37:15 +0000 2018
eliseo64906518,I'm raising money for I Need A Gaming mouse to join team. Click to Donate:  https://t.co/gZc49dumMr via @gofundme,,Sat Aug 04 04:36:39 +0000 2018
Juliekn71137090,I am raising money for Please help support Little Donny. Click to Donate:  https://t.co/fJHrSc445r via @gofundme,,Sat Aug 04 04:35:50 +0000 2018
_mac_22,I'm raising money for Help beau. Click to Donate:  https://t.co/RzT9Po4Ddj via @gofundme,,Sat Aug 04 04:35:06 +0000 2018
fundingmonster,"Please #retweet 👍 

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #health #healthcare #help #fundingmonster
@simplinow

Please #support Sarcoidosis Killed my Kidney!!! #donate here #today: 
⬇️
https://t.co/cLHeYi4Fjh",,Sat Aug 04 04:35:00 +0000 2018
halterproject,"RT @OrphanDog: #WaysToGive 

Monetary donations can be made at our website https://t.co/urC21UFRtj, just click the donate button! 😊

Checks…","#WaysToGive 

Monetary donations can be made at our website https://t.co/urC21UFRtj, just click the donate button! 😊

Checks/Money Orders can be mailed to us at: 
P.O. Box 662
Lakeport, CA 95453

#RiverFire #RanchFire #MendocinoComplexFire #MendocinoComplex #TogetherWeCan",Sat Aug 04 04:33:31 +0000 2018
sc1282,I'm raising money for steven calderon. Click to Donate:  https://t.co/hm7XT7gZfq via @gofundme,,Sat Aug 04 04:32:34 +0000 2018
Laughterhurts15,"RT @AQueenButterfly: https://t.co/8to1xydUgP

#EvilOnes we are putting together a special project for you guys. We want to help raise money…","https://t.co/8to1xydUgP

#EvilOnes we are putting together a special project for you guys. We want to help raise money to get 1 to 2 people a care package, and we are asking for your help to donate. There is a minimum of 5 dollar donation but one of our queens has volunteered-",Sat Aug 04 04:31:54 +0000 2018
sarahlaughed,"Just saw a website for a congregation that featured on its navigation bar a link for “Support.” “How wonderful to have up front for people in crisis seeking support,” I thought. Turns out ‘twas just a link to donate money and labor to that church. #MinistryReversed",,Sat Aug 04 04:31:23 +0000 2018
palettehyuna,"Donate money to me, I need it 😔 https://t.co/DRAPR2fsPN",,Sat Aug 04 04:29:52 +0000 2018
xlisbxthx,RT @Christianbell01: I'm raising money for Rest Easy Manny. Click to Donate:  https://t.co/o3LzUS3wV4 via @gofundme,I'm raising money for Rest Easy Manny. Click to Donate:  https://t.co/o3LzUS3wV4 via @gofundme,Sat Aug 04 04:28:45 +0000 2018
shirintorizawa,"RT @shirintorizawa: I'm raising money for #gish ChangeALife Rwanda on @CrowdRise
Please take a look at it, and donate if you can! 
https://…","I'm raising money for #gish ChangeALife Rwanda on @CrowdRise
Please take a look at it, and donate if you can! 
https://t.co/XcShZQ5MKC",Sat Aug 04 04:28:19 +0000 2018
nottodayshaytan,I'm raising money for Starting a Company. Click to Donate:  https://t.co/Q5LltjmEiJ via @gofundme,,Sat Aug 04 04:28:14 +0000 2018
laurenpfulton,RT @meganreimer98: I'm raising money for Help me get to YWAM. Click to Donate:  https://t.co/Y3hx3TiRPv via @gofundme,I'm raising money for Help me get to YWAM. Click to Donate:  https://t.co/Y3hx3TiRPv via @gofundme,Sat Aug 04 04:27:11 +0000 2018
Sp8Simon,RT @producerdeb: Thank you @producerdeb for your donation to #theridetothe78th! Raising money 4 kids never felt so fun!  Be a part of the j…,Thank you @producerdeb for your donation to #theridetothe78th! Raising money 4 kids never felt so fun!  Be a part of the journey—Who else can donate? We roll into Sturgis tonight! Donate Here: https://t.co/9ql01Jvlmb https://t.co/1WTWY2lJkm,Sat Aug 04 04:27:00 +0000 2018
139rich,"Will be worth it to me to skip some meals &amp; donate to this cause. Capturing the look of loss on Ted Cruz's face will be priceless! Hell, I don't need to lose weight, but if giving a month's groceries money to this cause will contribute to getting rid of Cruz so be it!💰🇺🇸 https://t.co/WQFIRcmAGf",,Sat Aug 04 04:26:50 +0000 2018
ChinaFl13832504,I'm raising money for Family Vacation. Click to Donate:  https://t.co/wQbYWPeiJu via @gofundme,,Sat Aug 04 04:26:29 +0000 2018
jimmiececil,"@U2 Please #share 😄

Please #retweet 👍 

#thankyou 🙏

#love #share #life #money #crowdfunding #family #donationexperts

Please #support #Help #donate here #today: 

⬇️
https://t.co/iR3QZBgXYN",,Sat Aug 04 04:25:46 +0000 2018
fundingmonster,"Please #share 😄

Please #retweet 👍 

#thankyou 🙏

#love #share #life #money #crowdfunding #fundingmonster

@LaronRobinson4

Please #support  #Dream #trip for my #mother #donate here #today: 

⬇️
https://t.co/ioCknU4YNc",,Sat Aug 04 04:25:08 +0000 2018
DiamondLaMaya,RT @J_Jaaay: I'm raising money for Post Graduate move to Ft. Wayne. Click to Donate:  https://t.co/XvZ6SJ93rI via @gofundme,I'm raising money for Post Graduate move to Ft. Wayne. Click to Donate:  https://t.co/XvZ6SJ93rI via @gofundme,Sat Aug 04 04:22:30 +0000 2018
JaimeHumphreys,I'm raising money for help needed to afford treament. Click to Donate:  https://t.co/hI78bkghqv via @gofundme,,Sat Aug 04 04:22:13 +0000 2018
Jbird10205,"RT @fundingmonster: Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding  #fundingmonster

@wquick52

P…","Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding  #fundingmonster

@wquick52

Please #support My #Business Needs #StartUp #Cash 💰 #donate here #today: 

⬇️
https://t.co/oPP2a3n7UL",Sat Aug 04 04:21:57 +0000 2018
Jbird10205,"RT @fundingmonster: Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #writing #reading #scribes
 #f…","Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #writing #reading #scribes
 #fundingmonster

@Wordage8

Please #support Wordage! #Help Me to Eliminate #Depression From the World! #donate here #today: 

⬇️
https://t.co/eD9jrAS046",Sat Aug 04 04:21:50 +0000 2018
QuyetPawz,"RT @canFURence: C'mon - donate to our charity auctions, buy from our charity auctions. You won't believe what your money can do to help.  A…","C'mon - donate to our charity auctions, buy from our charity auctions. You won't believe what your money can do to help.  And have a few laughs too!  https://t.co/VBwo542WRY #CanFURence #CanFUR2018 #ottcity https://t.co/jM1JVx92wp",Sat Aug 04 04:21:39 +0000 2018
LisaLovecraft,"The NRA is struggling for money just as much as I'm attracted romantically to [MALE CELEBRITY]. 

I'm not.

They're using fear-tactics to drum up money. Russia can't donate money with all the eyes on them now.",,Sat Aug 04 04:21:31 +0000 2018
shaybombin,"A guy at the door today told me he couldn't donate because he gives all his money to planned parenthood. He said ""I dont necessarily like abortion, but I definitely dislike fat white men telling women what to do with their bodies"" 

We need more people like bill https://t.co/3mXEYY6mq5",,Sat Aug 04 04:21:04 +0000 2018
Katelyn_zeitz,I'm raising money for Gopro Hero 5 for my sister. Click to Donate:  https://t.co/QfngjtdlzC via @gofundme,,Sat Aug 04 04:20:53 +0000 2018
greenlee96,I'm raising money for Save A Pitbull. Click to Donate:  https://t.co/rCGw9Up5BG via @gofundme,,Sat Aug 04 04:20:09 +0000 2018
fundingmonster,"Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding  #fundingmonster

@wquick52

Please #support My #Business Needs #StartUp #Cash 💰 #donate here #today: 

⬇️
https://t.co/oPP2a3n7UL",,Sat Aug 04 04:20:02 +0000 2018
area51F,"@Factsarefun3 @ChristieGElam This is the question I asked ""How much did #Obama donate of his Presidential salary?"" You answered in a round about way that did not answer the question. I never said you made claims about where Trump got his money. You're assuming a lot.",,Sat Aug 04 04:18:12 +0000 2018
vanilla2869,I'm raising money for Angels little league. Please click to Donate and help the kids:  https://t.co/ehOdypmvYZ via @gofundme,,Sat Aug 04 04:17:55 +0000 2018
FaizanI_,RT @JamillaTweets: if you’ve got a friend who won’t accept a gift from you but you want to get them something for a bday etc then find a ca…,"if you’ve got a friend who won’t accept a gift from you but you want to get them something for a bday etc then find a cause or charity they’re really interested in &amp; donate some money (or even some of your time) in their name. can guarantee they’ll love it, even more than a gift",Sat Aug 04 04:17:01 +0000 2018
Jeffrey80509622,"I'm raising money for Leukemia, help Patti. Click to Donate:  https://t.co/jRnH2H5xwD via @gofundme",,Sat Aug 04 04:16:38 +0000 2018
HollyMonsivais,I'm raising money for Homeless sigle mom. Click to Donate:  https://t.co/7y7Ksxnwyt via @gofundme,,Sat Aug 04 04:15:54 +0000 2018
llRiGbY_kNoWsll,I'm raising money for Help P. Click to Donate:  https://t.co/nEVmTYKVK5 via @gofundme,,Sat Aug 04 04:15:49 +0000 2018
AAlcala10,RT @InocentesFC: We're raising money to get Inocentes FC to Nationals!. Click to Donate:  https://t.co/g6vex2ySOZ via @gofundme https://t.c…,We're raising money to get Inocentes FC to Nationals!. Click to Donate:  https://t.co/g6vex2ySOZ via @gofundme https://t.co/m6wN99uPh3,Sat Aug 04 04:15:24 +0000 2018
thinkingemma,RT @thinkingemma: My baby brother recently passed away. My family &amp; I have created this GoFundMe in his honor to raise money for those affe…,My baby brother recently passed away. My family &amp; I have created this GoFundMe in his honor to raise money for those affected by teen suicide &amp; to create a scholarship for those who embodied his spirit. #rememberaustinschmitt Click to Donate:  https://t.co/N58GUMrlxo,Sat Aug 04 04:15:23 +0000 2018
kimcdickerson,I'm raising money for Skin Removal After Weight Loss. Click to Donate:  https://t.co/wfIv07jAVa via @gofundme #wls #gastricsleeve #10extrapoundsofskin,,Sat Aug 04 04:15:11 +0000 2018
fundingmonster,"Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #writing #reading #scribes
 #fundingmonster

@Wordage8

Please #support Wordage! #Help Me to Eliminate #Depression From the World! #donate here #today: 

⬇️
https://t.co/eD9jrAS046",,Sat Aug 04 04:15:10 +0000 2018
colourspeak,"RT @fundingmonster: Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #fundingmonster

@burgundios…","Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #fundingmonster

@burgundios

Please #support BOLAS DE PAPEL (PAPER BALLS) 🎥 #donate here #today: 

⬇️
https://t.co/kIc6B8SUrU",Sat Aug 04 04:15:03 +0000 2018
Soulseek4Christ,I'm raising money for Giving Back To Our Community. Click to Donate:  https://t.co/Jq8KGAzRRI via @gofundme,,Sat Aug 04 04:14:56 +0000 2018
712888,"I'm raising money for Help - Charity. Click to Donate:  https://t.co/22k66vJ88y via @gofundme - 
SWIFT: SABRRUMM; https://t.co/jpd3EX3FbS;
https://t.co/AVHFNFLELl",,Sat Aug 04 04:14:55 +0000 2018
ReginaRed4,"RT @bessbell: A ""fundraiser"" sounds like an intimidating prospect. It's not. Next time you email friends to come meet you at your house or…","A ""fundraiser"" sounds like an intimidating prospect. It's not. Next time you email friends to come meet you at your house or at a bar or at a discotheque, just say ""COME GET DRUNK AND BRING $5 TO REUNITE IMMIGRANT MOMS AND KIDS."" Then donate that money. Easy peasy.",Sat Aug 04 04:13:32 +0000 2018
AdaAimee923,RT @joshacosta12: I'm raising money for Your Place. Click to Donate:  https://t.co/9B3EncygMz via @gofundme,I'm raising money for Your Place. Click to Donate:  https://t.co/9B3EncygMz via @gofundme,Sat Aug 04 04:13:26 +0000 2018
farisdanial19,"RT @bintjefe: So I'm trying to raise money to help build a Mosque in Bihar, India this Ramadan. If you guys could donate any amount you're…","So I'm trying to raise money to help build a Mosque in Bihar, India this Ramadan. If you guys could donate any amount you're comfortable with, I would really appreciate it and in shaa Allah we can make this happen ! https://t.co/Fli6Bf7Qsy via @gofundme",Sat Aug 04 04:12:15 +0000 2018
craig3010,@DebraMessing @MomsDemand @Everytown I'd bet literally all my earthly possessions that the @nra are just saying this to get their members to donate more money.,,Sat Aug 04 04:12:03 +0000 2018
Chemcoach,RT @Chemcoach: I'm raising money for Let’s Help the Cogburn’s. Click to Donate:  https://t.co/mtJ10x8rTU via @gofundme,I'm raising money for Let’s Help the Cogburn’s. Click to Donate:  https://t.co/mtJ10x8rTU via @gofundme,Sat Aug 04 04:12:01 +0000 2018
